Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Expected_Ride_Duration,Customer_Loyalty_Status_Gold,Customer_Loyalty_Status_Regular,Customer_Loyalty_Status_Silver,Location_Category_Rural,Location_Category_Suburban,Location_Category_Urban,Vehicle_Type_Economy,Vehicle_Type_Premium,Time_of_Booking_Afternoon,Time_of_Booking_Evening,Time_of_Booking_Morning,Time_of_Booking_Night,Actual_Adjusted_Cost,Predicted_Adjusted_Cost,Error
73.0,27.0,98.0,57.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,251.1556502722435,191.0583236706351,60.09732660160839
84.0,74.0,7.0,101.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,396.3698341114785,422.6833236706351,-26.313489559156608
21.0,9.0,38.0,179.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,546.3787898746884,622.1833236706351,-75.80453379594667
77.0,30.0,99.0,179.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,689.7483154802385,664.6833236706351,25.064991809603384
59.0,9.0,30.0,140.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,603.3651642705413,486.6833236706351,116.6818405999062
52.0,14.0,87.0,98.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,425.97356882411634,386.9333236706351,39.04024515348124
93.0,28.0,63.0,38.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,111.72394123957052,126.4333236706351,-14.709382431064583
33.0,14.0,87.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,118.98653335805044,91.8083236706351,27.178209687415332
32.0,14.0,75.0,177.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,761.0167600703148,610.4333236706351,150.58343639967973
73.0,17.0,14.0,170.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,634.7265312250814,628.6833236706351,6.043207554446326
50.0,25.0,89.0,107.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,383.9141419544756,376.6833236706351,7.230818283840506
56.0,10.0,55.0,45.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,151.15212964816465,147.1833236706351,3.9688059775295415
93.0,23.0,34.0,125.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,386.169069413996,477.4333236706351,-91.2642542566391
38.0,8.0,78.0,114.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,470.2690237026412,389.4333236706351,80.83570003200612
100.0,24.0,88.0,56.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,173.66696747925593,190.9333236706351,-17.266356191379174
92.0,69.0,88.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,45.11502370436019,83.6833236706351,-38.568299966274914
42.0,31.0,0.0,76.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,329.7954689622466,317.6833236706351,12.112145291611512
49.0,30.0,57.0,154.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,630.8608868741742,538.0583236706351,92.80256320353908
71.0,61.0,79.0,147.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,591.2989763287625,533.1833236706351,58.115652658127374
32.0,20.0,44.0,68.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,301.62262644973293,235.3083236706351,66.31430277909783
33.0,6.0,90.0,139.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,521.8019208244536,519.6833236706351,2.1185971538185413
42.0,12.000000000000002,92.0,123.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,319.2967130915861,424.4333236706351,-105.13661057904898
86.0,17.0,99.0,167.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,669.2986264658781,578.9333236706351,90.365302795243
71.0,30.0,45.0,53.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,227.1825700126456,223.6833236706351,3.499246342010508
97.0,18.0,53.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,126.4771352873347,126.5583236706351,-0.08118838330040035
94.0,50.0,88.0,48.99999999999999,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,250.4603273046531,223.8083236706351,26.652003634018
53.0,33.0,40.0,139.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,1.0,0.0,507.9505746530285,536.1833236706351,-28.23274901760658
37.0,22.0,76.0,69.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,213.4432507972432,239.6833236706351,-26.24007287339191
21.0,11.0,23.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,40.442890652890384,38.433323670635104,2.0095669822552793
59.0,22.0,79.0,93.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,1.0,0.0,346.2847096470098,368.1833236706351,-21.898614023625328
25.0,7.0,13.0,81.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,1.0,0.0,286.13145256368455,325.5583236706351,-39.42687110695056
55.0,29.0,92.0,43.99999999999999,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,181.78093960037765,157.1833236706351,24.597615929742545
48.0,23.0,0.0,174.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,472.56954081275165,609.6833236706351,-137.11378285788345
53.0,12.000000000000002,79.0,154.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,663.4393972369916,575.9333236706351,87.50607356635646
37.0,6.0,59.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,86.17345483820148,52.058323670635104,34.115131167566375
22.0,8.0,4.0,122.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,408.129769999122,420.4333236706351,-12.3035536715131
64.0,46.0,51.0,29.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,144.60138253530263,151.1833236706351,-6.581941135332471
26.0,11.0,10.0,69.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,0.0,1.0,0.0,314.84471031916905,279.4333236706351,35.41138664853395
82.0,26.0,35.0,114.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,289.2390324634591,397.1833236706351,-107.94429120717598
79.0,24.0,0.0,82.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,284.8625062809567,279.4333236706351,5.429182610321618
72.0,19.0,89.0,45.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,1.0,0.0,183.658314681842,197.9333236706351,-14.275008988793104
61.0,5.0,48.0,29.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,114.16365482248573,90.1833236706351,23.98033115185062
25.0,8.0,83.0,121.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,492.7012709061221,412.6833236706351,80.01794723548699
93.0,43.0,44.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,104.06154127359152,108.3083236706351,-4.246782397043589
25.0,11.0,33.0,94.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,247.1745626508575,322.3083236706351,-75.13376101977761
67.0,6.0,15.0,123.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,420.6239113101238,416.8083236706351,3.815587639488683
26.0,7.0,58.0,161.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,460.75927538572495,558.1833236706351,-97.42404828491016
34.0,24.0,3.0,97.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,242.75171700488076,342.4333236706351,-99.68160666575434
98.0,61.0,91.0,95.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,319.94237960548924,347.1833236706351,-27.240944065145868
79.0,29.0,0.0,127.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,406.0855256604135,451.6833236706351,-45.597798010221595
27.0,11.0,88.0,144.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,581.7472844259253,537.3083236706351,44.43896075529017
55.0,19.0,74.0,173.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,702.9134159653358,608.6833236706351,94.23009229470074
76.0,8.0,40.0,157.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,561.5796822292014,539.1833236706351,22.39635855856625
57.0,38.0,31.0,64.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,0.0,1.0,0.0,294.8553699465021,274.1833236706351,20.67204627586699
77.0,46.0,97.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,150.53929481479082,141.6833236706351,8.855971144155717
72.0,54.0,68.0,74.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,220.4983368386397,271.5583236706351,-51.05998683199542
64.0,45.0,22.0,118.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,404.6018875393623,463.6833236706351,-59.081436131272824
32.0,15.0,67.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,132.12301879164062,111.1833236706351,20.939695121005514
49.0,20.0,52.0,162.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,510.62689141008207,613.6833236706351,-103.05643226055304
56.0,15.0,34.0,78.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,313.9950046053331,307.1833236706351,6.811680934698018
78.0,33.0,35.0,116.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,0.0,1.0,0.0,355.9595074862448,456.6833236706351,-100.72381618439033
68.0,23.0,96.0,105.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,359.128113102171,367.1833236706351,-8.055210568464076
57.0,45.0,78.0,112.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,397.6919501475396,446.4333236706351,-48.74137352309549
54.0,39.0,88.0,42.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,147.42638660593482,144.8083236706351,2.6180629352997187
38.0,13.0,38.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,145.13756861567325,127.6833236706351,17.45424494503814
74.0,54.0,16.0,147.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,617.434678434942,572.1833236706351,45.25135476430694
56.0,20.0,74.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,88.95619552388446,74.4333236706351,14.522871853249356
25.0,7.0,24.0,144.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,494.8027992189699,533.6833236706351,-38.880524451665224
44.0,18.0,88.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,199.8397440906976,213.4333236706351,-13.593579579937511
29.0,13.0,44.0,87.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,267.7404170012178,338.3083236706351,-70.56790666941731
27.0,12.000000000000002,1.0,40.99999999999999,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,119.4823999754907,133.6833236706351,-14.20092369514441
63.0,48.0,88.0,70.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,212.7407519371268,255.3083236706351,-42.567571733508316
81.0,23.0,39.0,143.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,359.0531279855558,489.6833236706351,-130.6301956850793
76.0,23.0,64.0,115.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,564.9317250247195,441.1833236706351,123.74840135408442
26.0,12.000000000000002,9.0,115.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,321.37240510655704,400.6833236706351,-79.31091856407807
27.0,6.0,2.0,86.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,320.30170917475425,287.1833236706351,33.118385504119146
76.0,42.0,95.0,180.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,512.6251102173163,638.4333236706351,-125.80821345331879
50.0,36.0,18.0,145.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,572.2420492964254,511.1833236706351,61.058725625790316
52.0,22.0,72.0,101.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,1.0,0.0,303.803226426852,399.0583236706351,-95.2550972437831
96.0,58.0,25.0,85.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,336.56848365859423,314.4333236706351,22.135159987959128
75.0,28.0,49.0,163.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,684.5607033083106,566.9333236706351,117.62737963767552
55.0,23.0,46.0,150.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,654.676536309137,568.1833236706351,86.49321263850186
24.0,6.0,65.0,106.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,387.4755378090192,406.1833236706351,-18.70778586161589
80.0,34.0,84.0,174.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,561.4385219871201,614.1833236706351,-52.74480168351499
23.0,10.0,80.0,22.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,59.4454065021933,71.1833236706351,-11.737917168441804
71.0,8.0,57.0,75.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,249.302974601016,253.6833236706351,-4.380349069619115
100.0,22.0,45.0,141.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,551.365137615676,536.8083236706351,14.556813945040858
51.0,27.0,86.0,152.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,472.21573527678265,569.6833236706351,-97.46758839385245
68.0,46.0,8.0,116.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,364.1617948077249,414.6833236706351,-50.5215288629102
45.0,13.0,96.0,112.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,393.2308288248255,381.8708236706351,11.36000515419039
92.0,45.0,59.0,121.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,1.0,0.0,574.8939389332888,480.6833236706351,94.21061526265373
35.0,22.0,82.0,174.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,586.7988633141081,612.6833236706351,-25.88446035652703
79.0,11.0,1.0,45.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,210.25675967194184,188.6833236706351,21.57343600130673
25.0,11.0,92.0,115.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,310.1546162756803,394.9333236706351,-84.77870739495478
84.0,54.0,59.0,43.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,196.31514152174805,212.4333236706351,-16.11818214888706
75.0,32.0,19.999999999999996,96.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,440.4442377359072,378.1833236706351,62.26091406527212
83.0,50.0,7.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,376.3000600585162,398.1833236706351,-21.883263612118924
65.0,40.0,48.0,121.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,492.5196024192815,424.9333236706351,67.58627874864641
87.0,47.0,6.0,162.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,1.0,0.0,743.3166378180009,625.9333236706351,117.38331414736581
47.0,9.0,38.0,141.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,1.0,0.0,543.7702542024564,488.1833236706351,55.58693053182128
41.0,6.0,56.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,49.234784001519046,26.433323670635104,22.80146033088394
57.0,37.0,59.0,159.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,585.8075881778408,553.6833236706351,32.12426450720568
21.0,9.0,13.0,127.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,431.251597706785,431.6833236706351,-0.43172596385011275
44.0,32.0,51.0,168.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,563.1508995670627,642.4333236706351,-79.28242410357245
80.0,31.0,91.0,127.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,392.3027600530253,488.8083236706351,-96.50556361760982
27.0,6.0,74.0,157.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,732.2985126943609,586.1833236706351,146.11518902372575
28.0,14.0,77.0,98.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,374.65518279544045,341.9333236706351,32.72185912480535
42.0,10.0,56.0,95.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,455.20978516158993,368.6833236706351,86.52646149095483
32.0,14.0,80.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,254.9510771161675,324.4333236706351,-69.4822465544676
39.0,18.0,78.0,165.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,734.3951190125542,577.1833236706351,157.21179534191913
87.0,41.0,97.0,37.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,158.89198003545,179.6833236706351,-20.791343635185115
28.0,9.0,26.0,114.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,466.9720738288303,435.6833236706351,31.28875015819517
35.0,20.0,62.0,117.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,297.0874038526085,408.6833236706351,-111.59591981802663
62.0,21.0,61.0,56.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,215.4338699200544,188.6208236706351,26.8130462494193
90.0,75.0,88.0,106.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,472.5465909334413,392.6833236706351,79.86326726280618
61.0,12.000000000000002,59.0,178.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,581.9712306098094,661.9333236706351,-79.96209306082574
73.0,14.0,28.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,118.97305838669006,85.1833236706351,33.78973471605495
21.0,7.0,6.0,180.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,836.1164185613576,668.1833236706351,167.9330948907225
40.0,15.0,90.0,42.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,211.52772882563164,181.1833236706351,30.344405154996537
58.0,20.0,42.0,125.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,527.1792011771714,430.8083236706351,96.37087750653632
38.0,12.000000000000002,44.0,110.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,356.8814026432877,374.8083236706351,-17.92692102734742
91.0,59.0,68.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,38.33576819209958,64.9333236706351,-26.597555478535526
