Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,riders_to_drivers_ratio,duration_per_rider,log_historical_cost,rating_ride_interaction,booking_category,location_code,loyalty_code,vehicle_code,Loyalty_Discount_Applied,Cumulative_Past_Rides_Discount,Traffic_Condition_Adjusted_Fare,Peak_Hours_Adjusted_Fare,demand_surge_multiplier,distance_adjustment,elasticity_fare_adjustment,Loyalty_Discount_Applied,True Value,Predicted Value,Absolute_Error,Percentage_Error
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408,2.4,1.3541666666666667,5.466616625951829,247.65,3,1,0,1,0.1,0.01,1,1,1.5,1.1,1.05,0.1,259.2239470760655,261.19934,1.9753937442470146,0.7620413802538715
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908,4.0,2.892857142857143,6.01018202224484,779.2199999999999,1,0,1,0,0.0,0.0,1,1,1.5,3.04,1.05,0.0,447.2132478587299,457.47592,10.26267377212946,2.294805402404209
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517,2.1176470588235294,0.4166666666666667,5.212075295710086,131.7,2,0,0,1,0.1,0.01,1,1,1.5,0.4,1.0,0.1,200.7218697656169,199.73582,0.9860451806559638,0.49124949952258296
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081,1.2763157894736843,1.6288659793814433,6.482522007853017,742.6,3,2,2,0,0.05,0.01,1,1,1.5,2.96,1.05,0.05,717.8790270300891,717.73114,0.1478868933703552,0.020600531259726676
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993,1.8235294117647058,2.0806451612903225,6.001976844705038,504.39000000000004,1,1,1,1,0.0,0.0,1,1,1.5,2.38,1.05,0.0,443.54980820636194,437.85345,5.696353616518195,1.284264700632665
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473,1.4615384615384615,2.2982456140350878,6.289316343645553,537.0999999999999,3,1,2,1,0.05,0.01,1,1,1.5,2.42,1.05,0.05,591.563345398132,589.2057,2.3576569215695145,0.3985468234146205
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455,3.125,3.24,5.659940133769145,323.19,2,1,2,1,0.05,0.0,1,1,1.5,1.42,1.05,0.05,314.744597820053,313.5177,1.2268976247405021,0.3898073654760387
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366,1.3157894736842106,2.04,6.186321093574795,732.87,1,1,0,1,0.1,0.01,1,1,1.5,2.86,1.05,0.1,533.5601296692003,534.82654,1.2664084167372494,0.23735064640650808
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851,3.9,1.2307692307692308,5.147994256066279,222.71999999999997,0,2,0,1,0.1,0.0,1,1,1.5,0.76,1.05,0.1,188.1945818676936,191.0748,2.880216716290761,1.5304461412792632
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511,1.4,3.0,6.188014510272461,394.79999999999995,1,1,0,1,0.1,0.01,1,1,1.5,1.9000000000000001,1.05,0.1,534.4662991050362,530.8411,3.625173616754978,0.6782791773448262
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875,2.0606060606060606,1.1323529411764706,5.689456636358523,275.66,2,1,1,0,0.0,0.0,1,1,1.5,1.34,1.05,0.0,324.20617512556623,323.73285,0.47332600447248296,0.14599536985659267
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793,2.1818181818181817,0.9479166666666666,5.9759414864298845,334.88,2,0,2,1,0.05,0.01,1,1,1.5,1.62,1.05,0.05,432.1225924488198,435.03857,2.9159817699302266,0.6748042849149557
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996,2.3333333333333335,3.357142857142857,6.125079257357401,407.02,0,1,0,1,0.1,0.01,1,1,1.5,1.68,1.05,0.1,501.7990414653696,502.583,0.7839663471303879,0.15623113683936588
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293207873477,1.5625,4.04,6.221641944400223,492.88,1,0,0,1,0.1,0.01,1,1,1.5,1.82,1.05,0.1,552.7822528660824,549.50354,3.2787128270199446,0.5931291769987863
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973,4.0,3.1785714285714284,5.502146231047658,381.81,2,1,1,0,0.0,0.0,1,1,1.5,1.58,1.05,0.0,268.63942781821174,272.50424,3.864814125147632,1.4386622829478892
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814,4.055555555555555,2.328767123287671,6.454768488520703,817.6999999999999,1,0,1,1,0.0,0.0,1,1,1.5,3.2,1.05,0.0,698.1991843475896,700.92017,2.7209816680353924,0.38971424330406923
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487,1.894736842105263,2.5555555555555554,5.847613715486873,343.16,3,2,2,1,0.05,0.01,1,1,1.5,1.6400000000000001,1.05,0.05,379.9474451365504,381.60068,1.6532323536839613,0.43512132397410946
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465,5.090909090909091,0.8035714285714286,5.024880873275352,202.5,3,2,2,0,0.05,0.01,1,1,1.5,0.7000000000000001,1.05,0.05,166.2673426129811,163.93355,2.333794639348298,1.4036398264815293
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294,1.1829268292682926,1.288659793814433,6.276192248245493,570.0,1,1,1,0,0.0,0.01,1,1,1.5,2.3000000000000003,1.05,0.0,583.8359932803525,585.43896,1.6029715633975457,0.2745585373027548
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805,6.3,2.634920634920635,6.181775280687436,642.4200000000001,0,0,1,1,0.0,0.01,1,1,1.5,3.12,1.05,0.0,531.1351806195579,531.2759,0.14069828669209983,0.02649010870038363
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448,2.2941176470588234,1.4871794871794872,5.877622350938326,517.36,2,2,2,1,0.05,0.0,1,1,1.5,2.12,1.05,0.05,391.55545823486926,394.65546,3.0999983080994866,0.7917137260898544
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891,2.6363636363636362,3.1379310344827585,5.720183776963967,343.07,0,1,1,0,0.0,0.0,1,1,1.5,1.62,1.05,0.0,334.35705886790805,333.70444,0.6526216120486765,0.19518702977540633
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517,2.1470588235294117,2.2054794520547945,6.245868702731084,624.68,3,1,2,1,0.05,0.01,1,1,1.5,3.02,1.05,0.05,566.3648916655969,564.7106,1.6543203765344288,0.2920944431547147
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165,3.1333333333333333,1.0212765957446808,5.8920097664161455,344.64,1,2,1,1,0.0,0.01,1,1,1.5,1.72,1.05,0.0,397.24559044689386,402.24158,4.995986701543643,1.2576569310494425
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758,1.8620689655172413,0.5925925925925926,4.397684220174056,143.68,3,1,2,0,0.05,0.01,1,1,1.5,0.44,1.05,0.05,88.28871108403236,90.457985,2.169273840284049,2.4570228896187585
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238,9.571428571428571,1.835820895522388,6.044113711250105,434.19,3,0,0,0,0.1,0.0,1,1,1.5,2.2600000000000002,1.05,0.1,462.6863024411362,453.0847,9.601616161839331,2.0751891964774267
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274,2.5555555555555554,5.086956521739131,6.2574619548878445,553.4100000000001,0,2,2,0,0.05,0.0,1,1,1.5,2.14,1.05,0.05,572.9819376735602,569.761,3.2209513454351963,0.5621383735956856
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225,4.666666666666667,0.7571428571428571,5.215347580634721,227.89999999999998,2,2,2,0,0.05,0.0,1,1,1.5,0.86,1.05,0.05,201.3833701461035,199.15356,2.2298056929784877,1.1072442036106382
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752,1.8181818181818181,3.25,5.252992873831485,319.8,1,0,2,0,0.05,0.01,1,1,1.5,1.1,1.05,0.05,209.1512099465553,209.31511,0.16389930637438965,0.07836402496369543
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461,1.1176470588235294,1.1789473684210525,6.260158931849252,432.32,0,1,0,1,0.1,0.0,1,1,1.5,2.04,1.05,0.1,574.5323131571607,573.28186,1.2504528055982291,0.2176470804099357
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928,2.5294117647058822,2.4651162790697674,6.020261760743399,518.3399999999999,3,2,2,1,0.05,0.0,1,1,1.5,1.92,1.05,0.05,451.7549794422421,447.76767,3.9873097645076996,0.8826266330103588
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002,1.7321428571428572,1.5463917525773196,6.373312743697412,693.0,1,1,2,1,0.05,0.01,1,1,1.5,2.8000000000000003,1.05,0.05,643.4954582420103,642.10645,1.3890129295102724,0.2158543485769068
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293,1.5238095238095237,2.125,5.7124865720212945,241.39999999999998,3,0,2,0,0.05,0.0,1,1,1.5,1.16,1.05,0.05,331.7848890947063,329.61404,2.1708449052531478,0.6542928796957632
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325,3.6538461538461537,1.3473684210526315,6.027283046705356,532.48,2,1,1,1,0.0,0.01,1,1,1.5,2.36,1.05,0.0,454.9457924489858,453.73535,1.2104408864857987,0.2660626620965021
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896,2.9375,1.8936170212765957,5.61355905227419,430.76,3,2,0,0,0.1,0.0,1,1,1.5,1.58,1.05,0.1,300.4299150812509,301.96292,1.533006061327228,0.5102707767675627
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575,2.0833333333333335,3.76,5.514132380213157,361.90000000000003,3,0,2,0,0.05,0.0,1,1,1.5,1.68,1.05,0.05,271.89201891594325,277.02286,5.130838750072371,1.8870869290424426
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432507972432,1.608695652173913,1.864864864864865,5.368045138316748,325.68,0,0,1,0,0.0,0.01,1,1,1.5,1.18,1.05,0.0,234.78757587696754,233.88664,0.9009334209128497,0.38372278326386117
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176,1.475,1.6610169491525424,5.6930395763189185,370.44,2,1,0,1,0.1,0.0,1,1,1.5,1.76,1.05,0.1,325.37381816811495,329.6276,4.253775826025674,1.3073503731722578
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401,2.0,0.6904761904761905,4.984084652466577,134.56,3,2,2,1,0.05,0.01,1,1,1.5,0.38,1.0,0.05,159.5767900923241,160.72751,1.150718452597772,0.7211064039651488
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845,4.416666666666667,1.528301886792453,5.697155989313421,283.5,0,0,1,1,0.0,0.0,1,1,1.5,1.42,1.05,0.0,326.72048906077293,325.10745,1.613036668194809,0.493705391061278
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428,1.2153846153846153,2.0759493670886076,6.503819544487388,749.48,3,0,1,0,0.0,0.01,1,1,1.5,3.08,1.05,0.0,733.3557320478872,731.639,1.7167549971059088,0.23409580399840757
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339145253,2.4583333333333335,1.5423728813559323,6.110459368065954,452.27,1,2,0,1,0.1,0.0,1,1,1.5,1.62,1.05,0.1,494.50019730597785,488.99048,5.509718790352849,1.114199513037534
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204,1.3333333333333333,3.675,6.4393280226548795,632.1,0,2,1,0,0.0,0.01,1,1,1.5,2.74,1.05,0.0,687.4846110325825,683.20044,4.284171579457507,0.6231661786614833
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072,1.853658536585366,0.3684210526315789,4.575073887034535,116.75999999999999,2,1,2,0,0.05,0.01,1,1,1.5,0.36,1.0,0.05,105.6387293674578,104.26826,1.3704722263445177,1.297319869853238
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267,1.5185185185185186,4.121951219512195,6.459527844493546,660.7900000000001,3,2,1,0,0.0,0.01,1,1,1.5,3.18,1.05,0.0,701.5353307541994,699.38086,2.1544713791994354,0.3071080364381974
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.5887110300315,5.533333333333333,0.7710843373493976,5.692346367718632,305.28,3,2,1,1,0.0,0.01,1,1,1.5,1.08,1.05,0.0,325.1475821330347,321.3667,3.780882914284689,1.1628205535102931
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.33854512223814,2.4444444444444446,2.227272727272727,5.870252798283177,392.0,1,0,1,0,0.0,0.0,1,1,1.5,1.76,1.05,0.0,388.672399634462,380.89694,7.7754574957901355,2.0005170171853686
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429041832141,1.2297297297297298,0.16483516483516483,4.14716295800783,65.85,3,2,0,0,0.1,0.01,1,1,1.5,0.1,1.0,0.1,68.47971946015356,68.47631,0.003408730173092067,0.004977722163531222
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899337195,3.176470588235294,1.2407407407407407,5.587505516546898,301.5,0,1,1,1,0.0,0.0,1,1,1.5,1.1400000000000001,1.05,0.0,292.6754489270915,291.41962,1.2558322278727587,0.42908697414712077
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671016029,1.5526315789473684,1.6101694915254237,5.832258556414967,443.65,3,0,2,1,0.05,0.01,1,1,1.5,1.7,1.05,0.05,374.1410938117632,368.5393,5.601787171138199,1.4972392137059805
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.258155352454,1.6363636363636365,1.8333333333333333,6.096405824440723,642.84,0,1,0,0,0.1,0.0,1,1,1.5,2.44,1.05,0.1,487.5839708876995,484.8108,2.773179872074479,0.5687594419942896
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.05527443495566,4.7,2.0425531914893615,5.583704085822208,426.24,1,0,0,0,0.1,0.0,1,1,1.5,1.72,1.05,0.1,291.56080187845123,293.15198,1.5911756606112704,0.5457440267552205
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343854791753,1.391304347826087,1.875,5.4046321613928985,279.0,3,0,2,0,0.05,0.0,1,1,1.5,1.0,1.05,0.05,243.57782402709284,241.95815,1.6196788854912825,0.6649533437457458
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288248255,3.2142857142857144,2.488888888888889,5.976936597710472,542.0799999999999,3,0,1,0,0.0,0.01,1,1,1.5,2.04,1.05,0.0,432.5539117073081,433.04617,0.4922613883950362,0.11380347630011256
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.58040412487964,1.565217391304348,0.5555555555555556,5.027691697268351,176.8,3,2,2,1,0.05,0.01,1,1,1.5,0.6,1.05,0.05,166.7384445373676,164.83241,1.9060318176410362,1.143126783345923
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046053331,3.5,1.3928571428571428,5.752556780304119,368.15999999999997,3,2,0,1,0.1,0.0,1,1,1.5,1.36,1.05,0.1,345.39450506586644,340.46176,4.932743591257065,1.428147674299681
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515260551269,1.826086956521739,1.9523809523809523,5.9057746403785005,312.42,0,0,2,1,0.05,0.01,1,1,1.5,1.44,1.05,0.05,402.7666786606396,405.21158,2.444899708500998,0.6070263102775203
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.97356882411634,3.466666666666667,1.8846153846153846,6.056722111603429,346.92,0,1,2,1,0.05,0.01,1,1,1.5,1.76,1.05,0.05,468.570925706528,467.9373,0.6336393295748621,0.1352280508269774
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.0531279855558,3.375,1.7654320987654322,5.886251598299288,614.9,1,2,0,0,0.1,0.0,1,1,1.5,2.66,1.05,0.1,394.9584407841114,412.85425,17.895807262763583,4.531060844587855
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.34417984860374,2.9615384615384617,0.6753246753246753,5.565838235343728,222.03999999999996,0,0,1,1,0.0,0.01,1,1,1.5,0.84,1.05,0.0,286.37859783346414,281.10825,5.270351983854766,1.8403442239491652
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.30170917475425,3.857142857142857,3.185185185185185,5.772380585668057,380.12,3,2,0,0,0.1,0.0,1,1,1.5,1.52,1.05,0.1,352.3318800922297,347.5213,4.81057882269846,1.3653543986536778
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.49212153190336,2.1142857142857143,1.8918918918918919,6.121378420242864,652.4,2,0,1,1,0.0,0.0,1,1,1.5,2.6,1.05,0.0,499.94133368509375,496.54117,3.4001654722031276,0.6801128938750333
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.11502370436019,1.3142857142857143,0.1956521739130435,3.8311387907146606,84.42,0,2,2,0,0.05,0.01,1,1,1.5,0.16,1.0,0.05,49.62652607479621,54.943962,5.3174360223717585,10.714906810840263
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621142931812,2.2,0.6233766233766234,5.41459755924891,198.24,3,0,0,1,0.1,0.0,1,1,1.5,0.76,1.05,0.1,246.02832572249932,243.72983,2.298497841639943,0.9342411427180415
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577542620492,9.428571428571429,0.6818181818181818,5.159961522160387,189.0,1,0,1,0,0.0,0.0,1,1,1.5,0.7000000000000001,1.05,0.0,190.47352968825413,188.76979,1.7037390388400695,0.8944754904414067
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.240499627505,1.925,2.168831168831169,6.385599881074717,716.43,2,2,1,0,0.0,0.0,1,1,1.5,3.14,1.05,0.0,651.4645495902555,655.1702,3.7056774605257488,0.568822580270326
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104185831,2.0588235294117645,3.2285714285714286,5.9409809522426045,536.75,0,2,1,1,0.0,0.0,1,1,1.5,2.06,1.05,0.0,417.2385914604414,420.1679,2.9293162544023517,0.7020722230292741
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703191874,1.2307692307692308,1.6666666666666667,5.890846021310017,296.0,1,0,0,1,0.1,0.0,1,1,1.5,1.4000000000000001,1.05,0.1,396.78228735110616,397.15863,0.376343019987587,0.09484874501329925
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.49261837786293,3.210526315789474,0.9508196721311475,5.320531878879612,227.94,1,0,0,1,0.1,0.01,1,1,1.5,0.96,1.05,0.1,223.84188021564924,223.42354,0.4183420076414279,0.18689175021153204
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451307734787,3.227272727272727,1.7746478873239437,6.318148193511758,614.88,0,1,2,1,0.05,0.01,1,1,1.5,2.32,1.05,0.05,608.8996438508267,609.26013,0.36048798511080804,0.05920318541015987
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.46644254307614,11.875,1.0,5.6506152942125345,444.59999999999997,1,0,0,0,0.1,0.0,1,1,1.5,1.7,1.05,0.1,311.8130867973838,312.3597,0.5466238959755856,0.1753049885076767
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.14534513079855,1.6888888888888889,1.381578947368421,6.077975548188545,373.8,0,1,0,1,0.1,0.0,1,1,1.5,1.9000000000000001,1.05,0.1,478.6598796438784,478.25464,0.405240972003412,0.08466157061354508
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681264991488,2.2857142857142856,4.875,6.5319967192381165,723.8399999999999,0,1,1,0,0.0,0.0,1,1,1.5,2.92,1.05,0.0,754.3449391490637,754.2456,0.09933368031374812,0.01316820398182841
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608868741742,1.5806451612903225,3.142857142857143,6.44866925421242,743.82,1,0,2,0,0.05,0.01,1,1,1.5,2.88,1.05,0.05,693.9469755615917,695.61096,1.663986352470829,0.23978580656313286
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568747653598,2.111111111111111,3.6315789473684212,6.304735552466792,608.58,0,2,2,1,0.05,0.01,1,1,1.5,2.56,1.05,0.05,600.7725622418958,600.9123,0.13973023857295175,0.023258425459964763
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.35700254441711,2.5555555555555554,0.4891304347826087,4.75666307310628,212.39999999999998,2,1,1,0,0.0,0.0,1,1,1.5,0.7000000000000001,1.05,0.0,126.89270279885883,130.38162,3.48891951559429,2.7495036661995242
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951423794,1.3333333333333333,3.8,6.004010257400721,647.52,3,1,2,0,0.05,0.0,1,1,1.5,2.84,1.05,0.05,444.45488465661737,447.93808,3.4831951773670085,0.7837005054085747
