Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Historical_Cost_of_Ride,Predicted_Cost_of_Ride,Error
72,39,39,3.77,115,347.8959667426787,427.0401938095985,-79.14422706691983
44,28,30,3.93,42,157.10657171647188,165.96813890709197,-8.861567190620093
74,23,45,4.07,99,417.1740953777763,366.5408200902727,50.633275287503636
39,29,12,4.24,97,251.1073064574406,361.58699346327904,-110.47968700583846
51,25,21,4.43,38,200.2582591219043,153.41937959489184,46.838879527012466
30,7,85,3.74,44,184.11208970364285,167.142465488667,16.969624214975852
24,5,57,4.96,70,228.7960083986281,264.96505981626854,-36.169051417640446
25,11,33,3.85,94,247.1745626508575,342.6086488343734,-95.43408618351592
85,27,8,4.11,157,669.5210116683382,570.4484669634217,99.0725447049166
32,13,21,4.64,156,685.7681264991488,566.9122764199144,118.85585007923441
59,9,30,4.83,140,603.3651642705413,510.225632408129,93.1395318624123
69,26,48,4.28,175,502.6040622268877,637.8166644689437,-135.212602242056
52,7,57,4.82,180,563.9803272683639,652.5039520858331,-88.52362481746923
57,45,78,4.43,112,397.6919501475396,426.51813609699514,-28.82618594945552
79,24,0,4.26,82,284.8625062809567,305.13316175502547,-20.270655474068747
39,12,54,3.77,176,510.4543750320455,633.0368967679929,-122.58252173594735
48,38,45,4.17,87,318.2101259853132,331.5196938502652,-13.309567864951987
62,14,33,4.23,85,386.834933294766,314.0169704480287,72.81796284673732
50,15,62,4.51,83,307.6469280930268,311.55702839416284,-3.9101003011360262
22,12,49,4.88,35,179.8388198801664,143.20376141360543,36.63505846656096
50,29,2,4.81,143,518.9547629602604,527.096913505218,-8.142150544957644
57,26,92,4.11,58,264.675747588135,226.85562699981242,37.82012058832257
24,12,10,3.6,45,212.16652497375452,166.74402375292107,45.42250122083345
25,7,13,3.99,81,286.13145256368455,294.72662927941656,-8.59517671573201
84,74,7,4.4,101,396.3698341114785,393.9294661852148,2.4403679262637183
86,17,99,4.69,167,669.2986264658781,611.941840362055,57.35678610382308
65,27,62,3.54,162,733.4425366578176,588.1238684191809,145.31866823863675
95,56,86,3.79,147,671.4712089285143,549.7903934773236,121.68081545119071
80,31,91,4.61,127,392.3027600530253,475.4623101305211,-83.1595500774958
43,16,40,4.89,106,410.6863449474928,394.48749253070497,16.198852416787815
42,30,26,4.79,138,493.0149508584995,511.50269632113725,-18.487745462637747
26,12,9,3.75,115,321.37240510655704,414.7830952529605,-93.41069014640345
60,16,56,4.33,126,382.4570671338528,461.8622074489334,-79.40514031508064
86,26,31,3.69,85,263.1611767019543,314.46334615302237,-51.302169451068096
79,11,1,4.35,45,210.25675967194184,169.94280119881276,40.31395847312908
29,6,24,4.37,50,197.46392160702555,188.25605216205344,9.207869444972118
44,17,15,4.0,98,353.33854512223814,358.63301736873444,-5.294472246496298
100,54,91,4.59,61,203.1132957396489,251.32374917906338,-48.21045343941449
25,8,83,3.53,121,492.7012709061221,437.8181115887247,54.88315931739737
34,12,38,4.18,24,106.94859059241988,98.43010343207806,8.51848716034182
21,9,38,4.54,179,546.3787898746884,647.13307318476,-100.75428331007151
49,20,52,4.74,162,510.62689141008207,593.4159830862093,-82.78909167612721
90,56,61,4.38,91,410.34270896598935,354.70602923057544,55.63667973541391
68,46,8,4.21,116,364.1617948077249,434.513483163315,-70.35168835559011
55,29,92,4.85,44,181.78093960037765,183.9438701261164,-2.1629305257387443
73,17,14,4.81,170,634.7265312250814,617.8695632587023,16.856967966379102
76,8,40,4.68,157,561.5796822292014,569.1014995591419,-7.521817329940518
27,6,74,4.75,157,732.2985126943609,572.0688722844536,160.22964040990723
89,8,18,3.83,121,407.5520587692045,434.2538981564009,-26.7018393871964
40,29,72,4.3,147,624.9860100296204,542.5545463870312,82.43146364258916
53,12,79,3.6,154,663.4393972369916,555.5955047105579,107.8438925264337
76,40,77,4.17,28,96.03520851587072,125.69183913458096,-29.65663061871024
56,37,96,3.83,130,412.5848379812361,483.7866318959737,-71.2017939147376
59,40,64,4.72,157,398.3194964103068,584.3859394420501,-186.06644303174335
53,27,78,3.63,58,279.09504825213924,222.9910298616605,56.10401839047873
96,53,58,4.28,21,55.6373707994896,105.36828656711697,-49.730915767627366
56,10,28,3.8,144,609.9082747031204,517.37783472089,92.5304399822304
86,18,61,4.3,126,441.6378571357946,462.28500888449946,-20.647151748704857
52,22,72,3.6,101,303.803226426852,372.13490186818854,-68.33167544133653
31,8,7,3.57,35,145.24203735141535,129.2613668754272,15.980670475988148
25,6,69,4.45,94,398.051725971793,347.2679806512451,50.783745320547894
65,5,24,3.54,119,301.40392677127403,424.8038542444647,-123.39992747319064
25,8,11,4.0,109,422.4367392307234,393.9025627858797,28.534176444843695
71,30,60,4.83,156,501.801349985356,577.0520076151563,-75.25065762980029
40,6,37,4.75,148,707.8553931548287,537.5294459476643,170.3259472071644
66,6,23,4.2,45,173.1577542620492,168.59668178714549,4.56107247490371
53,11,2,3.5,81,297.0186264188845,291.57833067672124,5.440295742163244
39,22,63,3.87,170,706.6896358975697,617.2505196732426,89.43911622432711
53,17,78,4.03,26,120.24719290813758,108.79996323291346,11.447229675224122
57,38,31,3.97,64,294.8553699465021,247.78774322982187,47.06762671668022
92,49,9,4.23,89,397.4831040703401,340.16230245360316,57.32080161673696
92,37,7,4.92,103,434.5710508212173,389.445248613061,45.1258022081563
71,61,79,3.85,147,591.2989763287625,552.2553097118191,39.04366661694337
53,22,28,4.99,64,211.0820229741896,248.37498730695955,-37.29296433276994
100,34,33,4.75,156,537.4486716625657,575.7025281503918,-38.253856487826056
22,10,26,4.97,170,562.1650160715976,617.984507183041,-55.819491111443426
50,36,18,4.61,145,572.2420492964254,536.6765086036569,35.565540692768536
87,41,97,4.27,37,158.89198003545,159.71411265605775,-0.8221326206077606
92,45,59,4.23,121,574.8939389332888,454.88076228527274,120.0131766480161
100,85,59,4.46,110,329.4837131421355,433.8138820889699,-104.33016894683436
26,13,14,4.19,174,666.4286805847338,626.9040454540043,39.52463513072951
94,50,88,4.95,49,250.4603273046531,209.8042617991727,40.6560655054804
92,69,88,4.69,18,45.11502370436019,106.31695583160308,-61.20193212724289
31,13,87,4.04,11,31.565676162125197,55.34510715067,-23.779430988544807
97,18,53,4.25,26,126.4771352873347,108.19096465137534,18.286170635959365
95,25,26,3.62,81,207.61291922267668,298.9219937276746,-91.30907450499791
55,23,46,4.58,150,654.676536309137,550.6197463173344,104.05678999180259
96,80,47,3.77,70,177.20306582722415,284.9626537135468,-107.75958788632263
34,12,3,4.83,62,298.3556200090825,234.7907155433285,63.56490446575398
37,13,31,4.66,35,132.1665679180113,140.53083916553788,-8.364271247526574
99,22,7,4.4,39,131.44358716419623,153.606765437487,-22.163178273290782
83,43,20,3.59,63,267.28219711727195,242.3362494411345,24.94594767613745
79,29,0,4.86,127,406.0855256604135,470.26057662967594,-64.17505096926243
75,56,66,3.69,22,124.49060049402551,106.9013934802166,17.589207013808917
97,25,95,4.91,101,332.2293764400841,383.3028373903654,-51.073460950281344
88,38,29,3.73,167,537.8971058809161,608.8995109084228,-71.00240502750671
100,70,42,4.9,167,762.8822843495781,630.8653725731235,132.01691177645455
60,50,54,4.57,38,151.77728650517233,166.6539765353309,-14.876690030158585
80,67,80,4.74,147,432.30725774113824,560.8934612468801,-128.58620350574182
47,9,38,4.06,141,543.7702542024564,509.08201138380105,34.68824281865534
77,30,99,4.7,179,689.7483154802385,659.843895460244,29.904420019994518
33,23,24,4.21,11,91.38952597435124,56.304925498959335,35.08460047539191
58,32,92,4.59,111,517.9444619823878,419.75825489920425,98.18620708318355
97,55,94,4.62,150,584.9958711291002,566.3567927705606,18.639078358539678
35,22,15,4.23,120,373.96284065200393,440.13352871842005,-66.17068806641612
83,50,7,3.66,100,376.3000600585162,375.4019807282811,0.8980793302350776
56,13,36,4.81,162,406.5574980533908,589.8351669858489,-183.27766893245808
54,16,8,4.5,67,266.0685899337195,251.67089698952492,14.397692944194603
78,33,35,4.46,116,355.9595074862448,432.62420425759456,-76.66469677134978
21,11,23,3.76,12,40.442890652890384,51.93049043987577,-11.487599786985385
83,34,96,4.71,176,812.0729938599545,650.6311119666966,161.44188189325791
43,14,1,3.53,134,648.9097429236178,480.222165503719,168.68757741989884
55,12,96,4.66,48,183.2701656673754,190.0648127105683,-6.794647043192896
38,12,44,4.85,110,356.8814026432877,407.0654276437918,-50.18402500050411
40,23,6,3.96,178,528.60807288888,642.6436254639852,-114.03555257510527
100,64,7,4.89,115,490.5040759704239,442.4264434823872,48.07763248803673
22,8,4,4.84,122,408.129769999122,445.32609084755654,-37.19632084843454
33,16,81,4.08,50,201.29253189374316,194.06414258753733,7.228389306205827
94,71,48,4.73,169,770.8733244527833,637.6546845807965,133.21863987198685
91,13,32,3.6,160,647.3526381087524,573.2322647544299,74.12037335432251
98,61,91,4.28,95,319.94237960548924,372.03017371761894,-52.0877941121297
25,11,92,3.91,115,310.1546162756803,421.1648738293633,-111.01025755368295
98,54,34,4.57,113,462.4075929220183,430.8999707361574,31.507622185860896
44,11,56,3.83,18,104.75201005936664,75.38689914660608,29.365110912760557
42,8,12,4.79,166,599.7162532373392,600.4259837206332,-0.7097304832940381
39,18,78,4.21,165,734.3951190125542,601.4001697877352,132.99494922481904
37,22,76,4.72,69,213.4432507972432,267.6889092149486,-54.245658417705386
93,70,21,3.81,12,41.12164471941277,74.74123573079316,-33.61959101138039
75,9,71,4.06,150,411.0057654245888,542.5320035359871,-131.5262381113983
46,15,96,4.69,116,497.3770093020007,431.7031717316336,65.67383757036714
89,12,42,4.73,102,328.31398217312767,376.8238617757445,-48.50987960261682
30,13,8,4.1,94,274.6803754439265,343.39743536157476,-68.71705991764827
67,46,92,4.72,32,97.6750013649232,147.34956778740687,-49.674566422483664
59,24,40,4.0,147,631.6312970255759,535.8408614060303,95.79043561954563
57,42,36,3.59,167,587.2581373063812,610.6302201429178,-23.372082836536606
21,7,6,4.96,180,836.1164185613576,650.6516023153983,185.46481624595924
81,35,45,4.11,174,708.8801421484817,636.3046378978365,72.57550425064517
74,39,11,3.65,173,484.75453888236336,628.9756853010372,-144.2211464186738
31,9,18,4.42,114,461.0193485856391,415.2902362622488,45.72911232339027
66,49,42,4.56,124,429.94835612457183,468.8017828768186,-38.853426752246776
26,7,58,4.91,161,460.75927538572495,586.6625286350709,-125.90325324934594
82,26,35,4.71,114,289.2390324634591,424.4054412177279,-135.1664087542688
42,7,90,3.67,32,123.762469326047,124.38932225190305,-0.6268529258560562
90,75,88,4.1,106,472.5465909334413,415.239813722245,57.30677721119628
25,7,24,3.85,144,494.8027992189699,516.857117468798,-22.054318249828157
88,46,35,4.89,72,361.98552095653855,285.4560049870992,76.52951596943933
87,77,12,3.56,11,97.78450586126137,71.79951205500356,25.984993806257805
51,6,64,4.57,34,142.5577269374603,135.47383684844684,7.083890089013465
80,34,84,3.8,174,561.4385219871201,636.368734106948,-74.93021211982784
64,46,51,5.0,29,144.60138253530263,136.0203228391783,8.581059696124328
100,50,20,4.14,127,350.2265835541767,474.65046172739915,-124.42387817322242
89,16,27,4.86,161,624.305615960136,586.6121283667474,37.69348759338868
68,16,91,4.49,77,246.7577555097292,292.2538850749875,-45.496129565258315
44,28,31,4.92,132,402.856989480614,490.7302595019937,-87.87327002137971
87,52,15,3.57,66,266.4336179135411,256.02994153958747,10.403676373953658
23,9,50,3.84,34,192.3850221961644,131.13109829535233,61.25392390081208
28,14,24,4.2,147,533.0802632142761,532.7173962473487,0.36286696692741316
38,9,57,4.26,16,104.0560727191975,70.74723259573841,33.30884012345909
90,71,37,3.51,32,172.59277503910292,144.76442700891266,27.828348030190256
28,6,54,4.03,168,593.065918046481,604.4168352364559,-11.350917189974894
29,17,76,3.61,166,674.132847635612,600.3349850902559,73.79786254535611
33,6,90,4.81,139,521.8019208244536,509.92477503455825,11.877145789895394
34,22,34,3.64,176,617.3632185255483,634.9302003809448,-17.566981855396534
58,14,10,3.77,95,258.01445968829404,344.5734737635139,-86.55901407521986
100,66,27,3.53,106,412.2556067980849,403.1944948715914,9.061111926493481
78,57,5,4.82,127,552.6397714448676,481.73992655942925,70.89984488543837
67,48,94,4.3,168,544.6027807887253,625.3728719109579,-80.77009112223254
72,45,82,4.42,40,151.58040412487964,172.2760899109881,-20.69568578610847
