Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Historical_Cost_of_Ride,Predicted_Cost_of_Ride,Error
32,20,44,3.55,68,301.62262644973293,254.39261231227417,47.23001413745877
33,6,90,4.81,139,521.8019208244536,504.97500679577456,16.826914028679084
42,12,92,4.5,123,319.2967130915861,448.90710801912155,-129.61039492753542
86,17,99,4.69,167,669.2986264658781,605.9417641289099,63.35686233696822
71,30,45,4.16,53,227.1825700126456,207.86124612195027,19.32132389069534
97,18,53,4.25,26,126.4771352873347,105.94484775756177,20.53228752977293
94,50,88,4.95,49,250.4603273046531,205.3260548274231,45.13427247723001
53,33,40,3.8,139,507.9505746530285,512.3262632296868,-4.375688576658263
37,22,76,4.72,69,213.4432507972432,264.494992807663,-51.05174201041979
21,11,23,3.76,12,40.442890652890384,54.421347270471074,-13.97845661758069
59,22,79,4.38,93,346.2847096470098,346.40200246891527,-0.11729282190549384
25,7,13,3.99,81,286.13145256368455,298.1607372564192,-12.029284692734677
55,29,92,4.85,44,181.78093960037765,178.8096217963282,2.9713178040494483
48,23,0,4.46,174,472.56954081275165,636.8002927357143,-164.2307519229626
53,12,79,3.6,154,663.4393972369916,553.2657360887576,110.17366114823392
37,6,59,4.73,20,86.17345483820148,84.28188066275976,1.8915741754417184
22,8,4,4.84,122,408.129769999122,449.04579249525045,-40.91602249612845
64,46,51,5.0,29,144.60138253530263,135.40188608859927,9.199496446703364
26,11,10,4.22,69,314.84471031916905,258.9579808225503,55.88672949661873
82,26,35,4.71,114,289.2390324634591,424.87090307093797,-135.63187060747885
79,24,0,4.26,82,284.8625062809567,309.3046397269205,-24.442133445963805
72,19,89,4.74,45,183.658314681842,176.4343090698585,7.2240056119835
61,5,48,4.15,29,114.16365482248573,111.60107309711378,2.562581725371942
25,8,83,3.53,121,492.7012709061221,435.3016147619191,57.39965614420299
93,43,44,4.41,16,104.06154127359152,83.56534993177843,20.496191341813088
25,11,33,3.85,94,247.1745626508575,344.57981863823915,-97.40525598738165
67,6,15,3.53,123,420.6239113101238,441.7741114429811,-21.15020013285732
26,7,58,4.91,161,460.75927538572495,585.1375676257366,-124.3782922400116
34,24,3,4.41,97,242.75171700488076,365.0502803998039,-122.29856339492315
98,61,91,4.28,95,319.94237960548924,369.01101473650937,-49.06863513102013
79,29,0,4.86,127,406.0855256604135,474.3377695861245,-68.25224392571101
27,11,88,4.5,144,581.7472844259253,523.4929026837164,58.25438174220892
55,19,74,3.51,173,702.9134159653358,623.284187901612,79.62922806372387
76,8,40,4.68,157,561.5796822292014,568.5582149684078,-6.978532739206457
57,38,31,3.97,64,294.8553699465021,250.40771547721312,44.44765446928898
77,46,97,4.2,25,150.53929481479082,114.61654947347603,35.922745341314794
72,54,68,3.85,74,220.4983368386397,290.75292085001183,-70.25458401137215
64,45,22,3.96,118,404.6018875393623,444.63308264957834,-40.03119511021606
32,15,67,3.76,23,132.12301879164062,93.38013629860296,38.742882493037655
49,20,52,4.74,162,510.62689141008207,592.9424442552014,-82.31555284511933
56,15,34,4.72,78,313.9950046053331,293.5761970196026,20.41880758573052
78,33,35,4.46,116,355.9595074862448,433.90920796633867,-77.9497004800939
68,23,96,4.77,105,359.128113102171,390.69653686448964,-31.568423762318616
57,45,78,4.43,112,397.6919501475396,424.71985998766627,-27.027909840126654
54,39,88,4.59,42,147.42638660593482,175.02921512664486,-27.602828520710034
38,13,38,4.46,28,145.13756861567325,114.86708523553426,30.270483380138984
74,54,16,4.35,147,617.434678434942,553.4567229507077,63.97795548423437
56,20,74,4.05,25,88.95619552388446,103.2476249781742,-14.29142945428974
25,7,24,3.85,144,494.8027992189699,519.8935611864113,-25.09076196744138
44,18,88,3.67,50,199.8397440906976,188.62142454656495,11.21831954413264
29,13,44,4.29,87,267.7404170012178,322.80574666766495,-55.065329666447155
27,12,1,4.93,41,119.4823999754907,164.74108507507205,-45.258685099581356
63,48,88,4.09,70,212.7407519371268,274.9764720398593,-62.2357201027325
81,23,39,4.3,143,359.0531279855558,523.601439716931,-164.54831173137524
76,23,64,3.57,115,564.9317250247195,419.7187030423272,145.21302198239232
26,12,9,3.75,115,321.37240510655704,419.4539294501349,-98.08152434357788
27,6,2,4.42,86,320.30170917475425,318.1503663258583,2.151342848895979
76,42,95,3.93,180,512.6251102173163,659.6619476210622,-147.03683740374584
50,36,18,4.61,145,572.2420492964254,540.4805403266064,31.761508969819033
52,22,72,3.6,101,303.803226426852,370.66177296190847,-66.85854653505646
96,58,25,3.61,85,336.56848365859423,330.44212060075995,6.126363057834283
75,28,49,4.46,163,684.5607033083106,597.5625028229462,86.99820048536446
55,23,46,4.58,150,654.676536309137,550.8800320584943,103.79650425064267
24,6,65,4.29,106,387.4755378090192,386.3363739628074,1.1391638462118294
80,34,84,3.8,174,561.4385219871201,634.1273934799015,-72.68887149278135
23,10,80,3.88,22,59.4454065021933,88.19720428362399,-28.75179778143069
71,8,57,3.68,75,249.302974601016,272.2979707278506,-22.99499612683462
100,22,45,4.23,141,551.365137615676,514.667914310214,36.69722330546199
51,27,86,3.82,152,472.21573527678265,554.3150172706517,-82.099281993869
68,46,8,4.21,116,364.1617948077249,439.7442708958308,-75.58247608810592
45,13,96,4.84,112,393.2308288248255,412.1903525865081,-18.95952376168259
92,45,59,4.23,121,574.8939389332888,454.50573692030025,120.38820201298859
35,22,82,3.79,174,586.7988633141081,630.4464375230538,-43.647574208945684
79,11,1,4.35,45,210.25675967194184,172.8538187178633,37.40294095407853
25,11,92,3.91,115,310.1546162756803,417.4098790040862,-107.25526272840585
84,54,59,4.98,43,196.31514152174805,187.44655743408413,8.868584087663919
75,32,20,3.69,96,440.4442377359072,358.77884591481023,81.66539182109699
83,50,7,3.66,100,376.3000600585162,381.18552940415407,-4.885469345637887
65,40,48,3.59,121,492.5196024192815,449.920172708776,42.59942971050549
87,47,6,4.54,162,743.3166378180009,604.141909565729,139.17472825227196
47,9,38,4.06,141,543.7702542024564,510.07864049164994,33.69161371080645
41,6,56,4.32,11,49.234784001519046,49.97109265285252,-0.7363086513334736
57,37,59,3.92,159,585.8075881778408,584.8911203209636,0.9164678568771478
21,9,13,4.01,127,431.251597706785,462.1196385152229,-30.86804080843791
44,32,51,4.2,168,563.1508995670627,616.8363059672283,-53.685406400165675
80,31,91,4.61,127,392.3027600530253,470.9641027534886,-78.66134270046331
27,6,74,4.75,157,732.2985126943609,569.052323910826,163.24618878353488
28,14,77,3.58,98,374.65518279544045,357.0687469662471,17.586435829193363
42,10,56,4.01,95,455.20978516158993,347.1635472852998,108.04623787629015
32,14,80,3.56,80,254.9510771161675,293.00879101249154,-38.05771389632403
39,18,78,4.21,165,734.3951190125542,599.1527435238136,135.24237548874066
87,41,97,4.27,37,158.89198003545,154.73539547766504,4.156584557784953
28,9,26,3.95,114,466.9720738288303,415.08163522824157,51.89043860058871
35,20,62,3.55,117,297.0874038526085,427.0701570607255,-129.982753208117
62,21,61,4.57,56,215.4338699200544,216.57140883413032,-1.1375389140759182
90,75,88,4.1,106,472.5465909334413,413.8135706551463,58.73302027829499
61,12,59,4.72,178,581.9712306098094,644.9934449144039,-63.02221430459451
73,14,28,4.31,29,118.97305838669006,116.82923695852804,2.1438214281620134
21,7,6,4.96,180,836.1164185613576,654.4612699022034,181.65514865915418
40,15,90,3.62,42,211.52772882563164,158.7384993240323,52.78922950159935
58,20,42,3.51,125,527.1792011771714,454.7879278806048,72.39127329656662
38,12,44,4.85,110,356.8814026432877,406.6036143353816,-49.722211692093936
91,59,68,4.77,15,38.33576819209958,88.91128058536538,-50.5755123932658
88,46,35,4.89,72,361.98552095653855,286.3728838572212,75.61263709931734
96,80,47,3.77,70,177.20306582722415,287.8558699412416,-110.65280411401747
34,22,34,3.64,176,617.3632185255483,638.166474193592,-20.803255668043676
61,45,42,4.25,102,421.98526198279467,389.22989621506673,32.75536576772794
37,10,27,4.26,143,512.44939271165,519.5463370991465,-7.096944387496478
84,37,3,3.83,69,248.9476553705649,266.54111503131185,-17.59345966074696
38,28,8,4.83,29,95.02020685904614,128.46081597982825,-33.44060912078211
51,25,21,4.43,38,200.2582591219043,155.62518672035137,44.63307240155294
54,16,8,4.5,67,266.0685899337195,254.72419593575302,11.344393997966506
69,7,51,4.56,103,462.66304412150464,376.30117861910924,86.3618655023954
44,11,56,3.83,18,104.75201005936664,74.07370044156272,30.67830961780392
100,66,27,3.53,106,412.2556067980849,407.7599222637456,4.495684534339318
84,59,67,4.27,164,758.9961232252967,613.4673487450187,145.528774480278
95,56,86,3.79,147,671.4712089285143,548.0782508746086,123.39295805390577
100,85,59,4.46,110,329.4837131421355,435.18706103001705,-105.70334788788153
59,24,40,4.0,147,631.6312970255759,537.361462088599,94.26983493697696
49,6,18,4.41,148,443.7750198288772,536.0245413654428,-92.24952153656562
32,6,13,4.75,53,173.88747446193491,202.77656216699447,-28.889087705059552
57,40,78,3.62,171,764.5953413909641,626.4041849197782,138.19115647118588
42,6,21,3.85,128,398.9933645706103,462.19909764691243,-63.205733076302124
94,71,48,4.73,169,770.8733244527833,639.5842921828753,131.28903226990803
28,18,100,3.62,92,382.03843862699455,337.22586872989257,44.81256989710198
29,17,76,3.61,166,674.132847635612,599.2054184213877,74.92742921422439
92,37,7,4.92,103,434.5710508212173,392.73394923653115,41.83710158468614
40,29,72,4.3,147,624.9860100296204,541.2511796606235,83.73483036899688
36,23,42,4.66,14,44.52503661261306,71.11292021233288,-26.587883599719824
31,7,22,4.88,172,806.0212701919081,624.7774949385193,181.24377525338878
22,6,82,4.3,172,710.884313751738,619.4580798245712,91.42623392716678
21,7,58,4.31,75,328.45835687553256,277.5842466949063,50.874110180626246
28,8,67,3.78,58,305.2426676647312,214.23867418773233,91.00399347699886
81,35,45,4.11,174,708.8801421484817,637.5606318516277,71.31951029685399
83,14,80,4.77,64,295.5887110300315,241.320071641367,54.268639388664496
86,18,61,4.3,126,441.6378571357946,460.2450728224659,-18.60721568667128
59,37,86,4.67,95,340.1282671016029,361.9274565669818,-21.799189465378902
30,13,8,4.1,94,274.6803754439265,347.5282387616988,-72.8478633177723
100,64,7,4.89,115,490.5040759704239,447.22699969022483,43.27707628019908
74,30,97,3.9,179,794.3231511066332,650.3937790176346,143.92937208899855
25,6,69,4.45,94,398.051725971793,344.6502112205404,53.40151475125259
100,54,91,4.59,61,203.1132957396489,247.19378266725295,-44.080486927604056
83,43,20,3.59,63,267.28219711727195,246.22001971420042,21.06217740307153
40,6,37,4.75,148,707.8553931548287,537.8031969396382,170.05219621519052
43,14,1,3.53,134,648.9097429236178,485.8505868860153,163.05915603760252
67,18,78,3.81,22,106.7358926414302,89.71712022764672,17.01877241378348
66,6,23,4.2,45,173.1577542620492,169.52376841500438,3.633985847044812
65,10,77,4.36,170,430.385487919734,612.9363117375319,-182.55082381779795
44,17,15,4.0,98,353.33854512223814,362.15072326292625,-8.812178140688104
31,21,77,4.83,107,389.3845083155804,399.3349189207048,-9.950410605124432
30,7,85,3.74,44,184.11208970364285,163.37115907310877,20.74093063053408
55,12,96,4.66,48,183.2701656673754,183.82719013355106,-0.5570244661756476
99,22,7,4.4,39,131.44358716419623,156.00479616061628,-24.56120899642005
100,50,20,4.14,127,350.2265835541767,478.39596267881257,-128.16937912463584
29,6,24,4.37,50,197.46392160702555,189.73193914959145,7.7319824574341
67,48,94,4.3,168,544.6027807887253,622.5653369587891,-77.96255617006375
26,11,97,3.64,141,427.0550612068028,507.6234600290941,-80.56839882229127
50,40,61,4.7,73,319.11098294212263,286.8112387827649,32.299744159357715
97,66,90,3.6,150,717.467322019467,562.0235523825984,155.44376963686864
58,14,10,3.77,95,258.01445968829404,348.3646463798439,-90.35018669154988
75,56,66,3.69,22,124.49060049402551,106.71207975075845,17.778520743267066
40,23,6,3.96,178,528.60807288888,648.1848668190225,-119.57679393014257
57,28,27,4.58,107,423.5098573724167,401.57442622872736,21.935431143689357
53,27,78,3.63,58,279.09504825213924,220.80368665859888,58.29136159354036
83,26,77,3.62,74,373.975635759196,275.6556087021353,98.32002705706071
37,12,15,3.73,142,369.36165888010754,514.2133524108318,-144.85169353072428
41,7,4,4.15,83,364.9140560714328,305.7744847005564,59.13957137087641
27,12,64,4.7,149,667.9464280068869,543.55380889646,124.39261911042684
90,45,13,4.47,90,284.25727302188227,347.73181294187157,-63.4745399199893
58,19,47,3.97,77,247.4420018201041,287.03461217462876,-39.59261035452465
