Actual,Predicted_lasso,Predicted_LinearRegression,Error_lasso,Error_LR
572.2420493,541.7327342,541.9219108,30.50931505,30.32013852
332.2293764,378.4155597,378.8082338,-46.18618322,-46.57885736
322.9000695,368.9211236,369.2254746,-46.02105409,-46.32540511
521.8019208,507.9376071,508.2822778,13.86431377,13.51964301
151.7772865,165.2316784,165.3907386,-13.45439193,-13.61345205
534.0181946,492.4231946,492.3777189,41.59500002,41.64047568
663.4393972,555.6045036,555.2755288,107.8348937,108.1638685
412.584838,481.7313566,481.5318306,-69.14651858,-68.94699264
210.2567597,172.5518142,172.561897,37.70494551,37.69486263
158.6526416,126.4631862,126.1314938,32.1894554,32.52114787
274.6803754,348.2772769,348.1651344,-73.59690146,-73.48475893
462.4075929,432.7133933,432.8810597,29.69419963,29.52653323
440.4442377,358.6100381,358.2778704,81.83419959,82.16636735
406.0855257,475.385758,475.6988209,-69.30023231,-69.61329524
732.2985127,572.2793776,572.5857338,160.0191351,159.7127789
45.1150237,100.6608292,100.9009667,-55.54580553,-55.78594298
654.6765363,552.9310351,553.123272,101.7455012,101.5532643
546.3787899,651.6573049,651.8307557,-105.278515,-105.4519658
383.914142,400.9305616,401.2259203,-17.01641969,-17.31177837
382.0384386,338.1851709,337.8622854,43.85326776,44.17615318
617.3632185,640.332938,640.0033083,-22.96971951,-22.64008975
294.8553699,249.5586898,249.3789468,45.29668019,45.47642319
353.3385451,362.8011341,362.638895,-9.462588997,-9.300349902
265.9466151,264.5157612,264.3664571,1.430853876,1.580158042
184.1120897,163.6430235,163.3653784,20.46906623,20.74671132
586.7988633,632.9943231,632.7767691,-46.19545974,-45.97790579
142.5577269,132.4260409,132.5935508,10.13168608,9.964176145
490.504076,446.6580998,446.9864144,43.84597615,43.51766154
564.931725,420.5854421,420.2196322,144.3462829,144.7120928
197.4639216,190.0351368,190.0711061,7.428784797,7.392815476
794.3231511,652.8107749,652.6649488,141.5123762,141.6582023
203.1132957,246.2967333,246.4963455,-43.18343761,-43.3830498
150.5392948,113.145531,113.122955,37.39376379,37.41633981
624.305616,589.8151916,590.1553237,34.49042433,34.15029225
512.4493927,521.6970047,521.6989369,-9.247612001,-9.249544233
329.795469,290.8177144,290.6335685,38.97775457,39.1619005
355.9595075,434.623279,434.7326707,-78.6637715,-78.77316318
119.4824,164.719588,165.0489843,-45.23718806,-45.56658436
144.6013825,134.1015849,134.4951977,10.49979761,10.10618486
707.8553932,540.5269421,540.8084482,167.328451,167.046945
689.7483155,657.6920963,657.9911412,32.05621914,31.75717427
630.8608869,571.7423015,572.0802868,59.11858535,58.78060008
279.0950483,220.4426398,220.1023721,58.65240842,58.99267611
320.3017092,319.115554,319.1754998,1.186155173,1.126209365
211.5277288,158.6078607,158.2657601,52.91986811,53.26196869
126.4771353,105.2417731,105.222937,21.23536214,21.25419825
528.6080729,650.2916474,650.1228747,-121.6835745,-121.5148018
585.8075882,586.3623588,586.1979547,-0.55477064,-0.390366509
552.6397714,486.98042,487.2720575,65.6593514,65.36771395
731.7816872,645.5257884,645.9152631,86.25589882,85.86642415
286.1314526,298.8522061,298.6789876,-12.72075358,-12.54753502
460.7592754,588.3763044,588.7625517,-127.617029,-128.0032763
246.7577555,287.8697585,288.0206938,-41.11200294,-41.26293825
836.1164186,657.7719462,658.1590945,178.3444724,177.9573241
266.0685899,254.897656,255.0002355,11.17093391,11.06835445
468.3069202,593.0016109,593.311187,-124.6946908,-125.0042669
228.7960084,263.9926655,264.3814158,-35.19665714,-35.58540744
124.4906005,104.3103296,103.9842903,20.18027087,20.50631019
258.0144597,348.8831494,348.5900456,-90.86868971,-90.57558595
228.6434979,248.7867191,248.896876,-20.14322122,-20.25337814
376.3000601,380.2717201,379.9147343,-3.971660004,-3.614674272
666.4286806,633.6849587,633.6480509,32.74372191,32.78062968
708.8801421,639.3734614,639.3105787,69.50668078,69.56956346
207.6129192,300.7571335,300.3867556,-93.14421426,-92.77383634
432.1627923,450.6089418,450.9570466,-18.44614949,-18.7942543
386.1690694,460.3072765,460.2921106,-74.13820704,-74.12304114
104.7520101,73.41107678,73.15846342,31.34093328,31.59354664
494.8027992,521.9896545,521.7626726,-27.18685525,-26.95987335
97.78450586,73.99783127,73.56215543,23.78667459,24.22235043
552.2693747,648.4693941,648.0691809,-96.20001933,-95.79980611
31.56567616,50.52385275,50.4043397,-18.95817659,-18.83866354
648.9097429,487.0827199,486.6613011,161.827023,162.2484418
361.985521,285.7931289,286.1281395,76.19239201,75.8573815
298.35562,238.4890056,238.7700369,59.86661443,59.58558311
449.5456339,345.2970759,345.6865461,104.248558,103.8590878
117.7636645,78.56377916,78.33408836,39.19988538,39.42957618
537.8971059,613.3894296,613.1040396,-75.49232368,-75.20693371
410.342709,353.7665017,353.8390569,56.57620723,56.50365208
321.0007658,425.644062,425.5370376,-104.6432963,-104.5362718
96.03520852,121.5938652,121.5436785,-25.5586567,-25.50846994
