Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,d_s_ratio,demand_class,supply_class,demand_metric,supply_metric,predicted_price_pca
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.6226264,1.6,low_demand,low_supply,0.8,1.8181818181818181,244.84442691662966
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.587084,3.8,high_demand,low_supply,1.1728395061728396,2.272727272727273,498.07856218530515
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.1181046,3.13,low_demand,low_supply,1.175,1.3636363636363635,311.69836079297136
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745627,2.27,low_demand,low_supply,0.625,1.0,330.9528265337169
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432508,1.68,low_demand,low_supply,0.925,2.0,249.369131911291
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.7943802,1.51,low_demand,high_supply,1.475,1.0263157894736843,380.78905159847653
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698092,2.1,low_demand,low_supply,1.05,1.8181818181818181,146.44602258020214
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264,4.82,low_demand,low_supply,1.325,1.0,323.78527994047556
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291,1.23,low_demand,high_supply,1.975,1.6842105263157894,576.292659158877
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339,2.57,low_demand,low_supply,1.475,2.090909090909091,363.4479725387355
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.98601,1.38,low_demand,low_supply,1.0,2.6363636363636362,527.4978441133358
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520852,1.9,low_demand,high_supply,1.9,1.0526315789473684,89.78102203824426
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593916,1.58,low_demand,low_supply,1.025,2.3636363636363638,602.5968869717024
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.588711,5.93,high_demand,low_supply,1.0246913580246915,1.2727272727272727,265.690723380757
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.3385451,2.59,low_demand,low_supply,1.1,1.5454545454545454,345.2897612263574
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429042,1.25,high_demand,high_supply,1.123456790123457,1.9210526315789473,55.38885824624333
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899,3.38,low_demand,low_supply,1.35,1.4545454545454546,276.61392293686464
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671,1.59,low_demand,low_supply,1.475,3.3636363636363638,390.9779632497777
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.2581554,1.67,low_demand,high_supply,1.8,1.131578947368421,458.8630035823682
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.0552744,5.22,low_demand,low_supply,1.175,0.8181818181818182,332.06490651157605
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343855,1.45,low_demand,low_supply,0.8,2.0,218.07276660391977
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288,3.46,low_demand,low_supply,1.125,1.1818181818181819,393.29444789832104
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.5804041,1.6,low_demand,high_supply,1.8,1.1842105263157894,176.31610910254716
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046,3.73,low_demand,low_supply,1.4,1.3636363636363635,313.8475489726655
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515261,1.91,low_demand,low_supply,1.05,2.0,336.6880610099489
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.9735688,3.71,low_demand,low_supply,1.3,1.2727272727272727,384.7689595240802
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.053128,3.52,low_demand,low_supply,2.025,2.090909090909091,501.8933667834705
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.3441798,3.08,low_demand,low_supply,1.925,2.272727272727273,228.50562081672854
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.3017092,4.5,low_demand,low_supply,0.675,0.5454545454545454,297.2047709232784
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.4921215,2.18,low_demand,low_supply,1.85,3.090909090909091,544.6732994530558
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.1150237,1.33,high_demand,high_supply,1.1358024691358024,1.8157894736842106,65.2696340395915
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621143,2.26,low_demand,low_supply,1.925,3.090909090909091,220.70132730497477
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577543,11.0,low_demand,low_supply,1.65,0.5454545454545454,147.55010912158198
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.2404996,1.97,low_demand,high_supply,1.925,1.0263157894736843,579.3314965593117
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104,2.19,low_demand,low_supply,0.875,1.4545454545454546,440.94215167031103
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703,1.26,low_demand,low_supply,1.2,3.4545454545454546,338.5741262082219
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.4926184,3.39,low_demand,low_supply,1.525,1.6363636363636365,244.83778593409141
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451308,3.38,low_demand,low_supply,1.775,1.9090909090909092,486.1251507512477
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.4664425,13.57,high_demand,low_supply,1.1728395061728396,0.6363636363636364,327.1035359929805
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.1453451,1.73,low_demand,high_supply,1.9,1.1578947368421053,405.43527853823275
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681265,2.46,low_demand,low_supply,0.8,1.1818181818181819,549.098240505569
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608869,1.63,low_demand,low_supply,1.225,2.727272727272727,551.5566841789723
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568748,2.24,low_demand,low_supply,0.95,1.5454545454545454,529.4544497616528
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.3570025,2.63,high_demand,low_supply,1.1358024691358024,3.1818181818181817,170.6311759315657
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951,1.38,low_demand,low_supply,1.0,2.6363636363636362,545.3160578742942
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.0383299,1.31,low_demand,high_supply,1.375,1.105263157894737,153.99632217590099
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.2629551,1.71,low_demand,low_supply,1.45,3.090909090909091,515.0028894400482
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369765,6.8,low_demand,low_supply,0.85,0.45454545454545453,568.8347564403921
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024751,1.49,low_demand,high_supply,1.75,1.236842105263158,222.31580018598086
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.0906902,2.12,low_demand,low_supply,1.275,2.1818181818181817,104.17593606047092
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576533,1.57,high_demand,high_supply,1.0864197530864197,1.4736842105263157,212.60385684360006
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709,3.12,low_demand,low_supply,0.625,0.7272727272727273,421.09670298032603
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.23448,1.79,low_demand,low_supply,0.85,1.7272727272727273,631.6361160741831
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.5277288,2.67,low_demand,low_supply,1.0,1.3636363636363635,188.94444286823602
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.7592754,3.71,low_demand,low_supply,0.65,0.6363636363636364,563.1753037470259
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.1074735,1.93,low_demand,high_supply,2.025,1.105263157894737,157.680635182068
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.696213,1.43,low_demand,high_supply,2.0,1.4736842105263157,188.54462512079112
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961,3.37,low_demand,low_supply,1.6,1.7272727272727273,645.3833842528081
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026,2.5,low_demand,low_supply,1.125,1.6363636363636365,480.6458568071581
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062,1.71,high_demand,high_supply,1.037037037037037,1.2894736842105263,226.9613428683216
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.1158059,2.12,low_demand,low_supply,0.85,1.4545454545454546,326.56935245682166
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418775,2.09,low_demand,low_supply,1.675,2.909090909090909,96.0270289687428
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.1690694,4.04,high_demand,low_supply,1.1481481481481481,2.090909090909091,485.44794025007104
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003273,1.96,high_demand,high_supply,1.2345679012345678,1.3421052631578947,311.21835781664026
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.9628407,1.59,low_demand,low_supply,0.875,2.0,469.2374801228036
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.5511001,2.77,low_demand,low_supply,0.9,1.1818181818181819,249.84836019987566
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.112701,1.56,low_demand,low_supply,0.7,1.6363636363636365,450.94331319768696
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389,2.33,low_demand,low_supply,0.525,0.8181818181818182,418.94837335816896
26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923,1.73,low_demand,low_supply,0.65,1.3636363636363635,609.5748637447471
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.633356,4.62,high_demand,low_supply,1.1975308641975309,1.9090909090909092,656.5761857364876
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572086,1.73,low_demand,low_supply,0.65,1.3636363636363635,644.846232667496
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523524,1.62,high_demand,high_supply,1.123456790123457,1.4736842105263157,34.196643358994265
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891065,1.35,low_demand,high_supply,1.625,1.263157894736842,532.4230667926967
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016247,3.14,high_demand,low_supply,1.0864197530864197,2.5454545454545454,592.931053201966
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273,6.31,high_demand,low_supply,1.0123456790123457,1.1818181818181819,519.5800248488904
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.5196024,1.62,low_demand,high_supply,1.625,1.0526315789473684,418.11598356217496
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784,6.83,low_demand,low_supply,1.025,0.5454545454545454,30.85490973737899
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928861,2.36,high_demand,low_supply,1.0493827160493827,3.272727272727273,549.7492123461511
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133395,2.69,low_demand,low_supply,0.875,1.1818181818181819,327.77518836337026
83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.1793412,2.86,high_demand,low_supply,1.0246913580246915,2.6363636363636362,132.119074646011
91,31,Urban,Regular,12,4.39,Night,Economy,39,163.2145833,2.94,high_demand,low_supply,1.123456790123457,2.8181818181818183,147.17222339187262
44,28,Rural,Regular,31,4.92,Night,Premium,132,402.8569895,1.57,low_demand,low_supply,1.1,2.5454545454545454,516.9217796906219
96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351909,8.0,high_demand,low_supply,1.1851851851851851,1.0909090909090908,313.38727175072944
77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.5392948,1.67,low_demand,high_supply,1.925,1.2105263157894737,123.55312862437094
91,80,Rural,Gold,74,4.74,Night,Economy,46,194.9355593,1.14,high_demand,high_supply,1.123456790123457,2.1052631578947367,167.85270126786995
93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485036,2.21,high_demand,high_supply,1.1481481481481481,1.105263157894737,560.9549381727513
41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.557234,4.56,low_demand,low_supply,1.025,0.8181818181818182,524.0397720886718
61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147646,1.39,low_demand,high_supply,1.525,1.1578947368421053,178.3270125094959
83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411,8.3,high_demand,low_supply,1.0246913580246915,0.9090909090909091,76.2732249243212
59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096,2.68,low_demand,low_supply,1.475,2.0,372.16946470457606
42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.0447303,1.35,low_demand,low_supply,1.05,2.8181818181818183,98.34445580093382
81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793,5.06,low_demand,low_supply,2.025,1.4545454545454546,435.37386649743524
72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.6583147,3.79,low_demand,low_supply,1.8,1.7272727272727273,199.0137612479564
43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476,4.78,low_demand,low_supply,1.075,0.8181818181818182,439.1292589218913
74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.36208132,2.24,low_demand,low_supply,1.85,3.0,42.76408773553908
68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093,1.51,low_demand,high_supply,1.7,1.1842105263157894,388.6870939203107
36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569,2.77,low_demand,low_supply,0.9,1.1818181818181819,532.0316252828668
51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576216,10.2,low_demand,low_supply,1.275,0.45454545454545453,356.8485633748818
63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524,2.74,low_demand,low_supply,1.575,2.090909090909091,172.67554867928104
96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334,3.31,high_demand,low_supply,1.1851851851851851,2.6363636363636362,628.6245085460878
94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341,1.59,high_demand,high_supply,1.1604938271604939,1.5526315789473684,658.1933203105073
74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.0663629,2.31,low_demand,low_supply,1.85,2.909090909090909,181.4526977784327
91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381,7.0,high_demand,low_supply,1.123456790123457,1.1818181818181819,603.8057748941239
69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.12824,5.75,low_demand,low_supply,1.725,1.0909090909090908,592.748302341526
51,20,Rural,Silver,57,3.68,Night,Economy,67,246.9229249,2.55,low_demand,low_supply,1.275,1.8181818181818181,238.8546263786135
45,17,Rural,Gold,10,4.93,Night,Premium,148,430.0665305,2.65,low_demand,low_supply,1.125,1.5454545454545454,565.2764645507378
92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.6387527,2.71,high_demand,low_supply,1.1358024691358024,3.090909090909091,505.89992685441814
69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486,1.92,low_demand,low_supply,1.725,3.272727272727273,394.03592741954543
56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454569,4.0,low_demand,low_supply,1.4,1.2727272727272727,165.5792378690712
43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872,1.65,low_demand,low_supply,1.075,2.3636363636363638,625.358828886857
86,48,Urban,Silver,37,4.15,Night,Economy,84,216.0505481,1.79,high_demand,high_supply,1.0617283950617284,1.263157894736842,293.8511462724082
61,34,Urban,Gold,82,3.99,Night,Premium,10,83.8683562,1.79,low_demand,low_supply,1.525,3.090909090909091,87.08580175966222
50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420493,1.39,low_demand,low_supply,1.25,3.272727272727273,524.3889827566655
73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474,2.15,low_demand,low_supply,1.825,3.090909090909091,123.4154774921031
76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935712,10.86,low_demand,low_supply,1.9,0.6363636363636364,241.28302834620075
87,41,Urban,Regular,87,4.36,Night,Economy,87,387.1117403,2.12,high_demand,high_supply,1.0740740740740742,1.0789473684210527,302.90409639206996
53,33,Rural,Regular,40,3.8,Morning,Premium,139,507.9505747,1.61,low_demand,low_supply,1.325,3.0,543.1453365459611
71,8,Suburban,Silver,57,3.68,Night,Economy,75,249.3029746,8.88,low_demand,low_supply,1.775,0.7272727272727273,254.53142134265087
32,5,Rural,Gold,80,3.55,Night,Economy,14,45.91711193,6.4,low_demand,low_supply,0.8,0.45454545454545453,43.53827354261716
91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,424.6120578,3.03,high_demand,low_supply,1.123456790123457,2.727272727272727,348.0792434530914
47,37,Suburban,Gold,64,3.75,Morning,Economy,31,85.9735753,1.27,low_demand,low_supply,1.175,3.3636363636363638,122.49347250886524
23,13,Rural,Silver,42,4.55,Night,Economy,87,328.9669926,1.77,low_demand,low_supply,0.575,1.1818181818181819,307.96753086546516
57,20,Rural,Regular,92,3.74,Morning,Economy,53,172.6294341,2.85,low_demand,low_supply,1.425,1.8181818181818181,187.78356306073215
48,17,Suburban,Silver,2,4.09,Evening,Economy,85,261.9435329,2.82,low_demand,low_supply,1.2,1.5454545454545454,297.6431124230236
22,5,Urban,Gold,39,4.92,Evening,Economy,56,199.0416803,4.4,low_demand,low_supply,0.55,0.45454545454545453,189.6707624155603
60,19,Urban,Silver,37,4.22,Evening,Economy,68,232.2834549,3.16,low_demand,low_supply,1.5,1.7272727272727273,237.18912160980048
94,42,Rural,Regular,0,4.23,Morning,Premium,36,185.3118381,2.24,high_demand,high_supply,1.1604938271604939,1.105263157894737,165.64017555781746
43,6,Suburban,Silver,34,4.4,Morning,Premium,24,153.7614397,7.17,low_demand,low_supply,1.075,0.5454545454545454,118.03194885176825
97,18,Suburban,Regular,53,4.25,Night,Premium,26,126.4771353,5.39,high_demand,low_supply,1.1975308641975309,1.6363636363636365,134.03702714875612
47,17,Rural,Silver,7,4.8,Morning,Economy,173,609.5038276,2.76,low_demand,low_supply,1.175,1.5454545454545454,610.1679766564009
39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,287.1624376,1.39,low_demand,low_supply,0.975,2.5454545454545454,357.3907459197325
50,39,Suburban,Regular,94,3.81,Evening,Premium,139,406.3248065,1.28,low_demand,high_supply,1.25,1.0263157894736843,525.8363989288696
35,17,Urban,Regular,78,4.4,Evening,Premium,61,249.0371127,2.06,low_demand,low_supply,0.875,1.5454545454545454,256.408294320221
28,8,Suburban,Regular,69,3.86,Evening,Premium,175,620.9016916,3.5,low_demand,low_supply,0.7,0.7272727272727273,653.2874724144375
51,32,Rural,Regular,98,4.44,Morning,Premium,51,267.0607017,1.59,low_demand,low_supply,1.275,2.909090909090909,232.29380036520996
54,12,Suburban,Silver,84,4.98,Evening,Premium,172,715.7547931,4.5,low_demand,low_supply,1.35,1.0909090909090908,642.2269706102084
65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,430.3854879,6.5,low_demand,low_supply,1.625,0.9090909090909091,591.6500148912198
61,26,Rural,Gold,21,3.85,Morning,Premium,126,604.273047,2.35,low_demand,low_supply,1.525,2.3636363636363638,491.19662404844223
46,9,Suburban,Silver,67,4.22,Evening,Premium,47,243.5250632,5.11,low_demand,low_supply,1.15,0.8181818181818182,200.2036178463473
73,50,Urban,Regular,7,4.22,Night,Economy,45,176.2144067,1.46,low_demand,high_supply,1.825,1.3157894736842106,152.7539991688386
