Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Rating_Category,Customer_Loyalty_Status_Gold,Customer_Loyalty_Status_Regular,Customer_Loyalty_Status_Silver,Location_Category_Rural,Location_Category_Suburban,Location_Category_Urban,Vehicle_Type_Economy,Vehicle_Type_Premium,Time_of_Booking_Afternoon,Time_of_Booking_Evening,Time_of_Booking_Morning,Time_of_Booking_Night,Cost_Low,Cost_Medium,Cost_High
45,13,96,4.84,112,Excellent,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
72,45,82,4.42,40,Excellent,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False
56,15,34,4.72,78,Excellent,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False
42,22,67,3.81,82,Good,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False
52,14,87,3.54,98,Good,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True
81,23,39,4.3,143,Excellent,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False
77,25,70,4.27,52,Excellent,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False
27,6,2,4.42,86,Excellent,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False
74,34,18,4.66,140,Excellent,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
92,69,88,4.69,18,Excellent,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False
77,34,33,4.13,48,Excellent,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
66,6,23,4.2,45,Excellent,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
77,39,23,4.29,167,Excellent,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
35,16,31,4.75,113,Excellent,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False
48,38,40,3.7,80,Good,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
61,18,84,3.93,58,Good,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
71,21,82,4.88,126,Excellent,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True
95,7,40,4.68,95,Excellent,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
76,44,20,3.56,105,Good,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True
32,13,21,4.64,156,Excellent,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True
49,30,57,4.83,154,Excellent,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
38,17,92,4.41,138,Excellent,False,False,True,False,False,True,False,True,True,False,False,False,False,False,True
92,35,46,4.72,45,Excellent,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False
40,29,26,4.26,152,Excellent,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True
55,42,24,4.49,45,Excellent,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False
58,34,19,4.55,131,Excellent,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
34,5,26,4.85,152,Excellent,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True
70,47,3,3.66,53,Good,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
51,24,25,4.68,16,Excellent,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False
88,56,11,4.36,60,Excellent,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
25,8,83,3.53,121,Good,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True
34,19,51,4.2,166,Excellent,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
40,15,90,3.62,42,Good,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
26,7,58,4.91,161,Excellent,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True
81,42,88,4.14,47,Excellent,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False
80,56,63,4.57,43,Excellent,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
64,19,86,4.68,171,Excellent,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
45,18,68,4.07,136,Excellent,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
84,49,32,4.25,53,Excellent,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False
34,16,47,4.12,93,Excellent,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False
67,32,40,4.47,13,Excellent,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False
93,23,34,4.23,125,Excellent,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
100,51,56,3.58,89,Good,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False
35,22,15,4.23,120,Excellent,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
36,13,31,4.71,71,Excellent,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
28,18,100,3.7,127,Good,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True
21,9,10,3.88,108,Good,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False
26,15,35,5.0,161,Excellent,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
97,21,59,3.87,174,Good,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
26,15,10,3.71,171,Good,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
91,56,17,4.66,10,Excellent,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False
65,48,12,4.37,140,Excellent,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True
88,28,22,4.99,154,Excellent,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True
82,13,32,3.58,148,Good,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
65,40,48,3.59,121,Good,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True
41,6,56,4.32,11,Excellent,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False
85,36,64,4.32,152,Excellent,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
35,13,80,3.8,93,Good,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False
83,29,78,4.42,23,Excellent,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False
91,31,12,4.39,39,Excellent,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False
44,28,31,4.92,132,Excellent,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
96,12,15,4.97,90,Excellent,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
77,46,97,4.2,25,Excellent,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False
91,80,74,4.74,46,Excellent,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False
93,42,75,4.66,160,Excellent,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True
41,9,73,3.51,150,Good,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True
61,44,69,4.54,52,Excellent,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False
83,10,28,3.91,23,Good,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False
59,22,79,4.38,93,Excellent,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
42,31,62,4.95,13,Excellent,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False
81,16,73,4.89,125,Excellent,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
72,19,89,4.74,45,Excellent,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
43,9,2,4.12,126,Excellent,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True
74,33,82,4.13,10,Excellent,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False
68,45,65,4.19,112,Excellent,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False
36,13,84,4.88,140,Excellent,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True
51,5,0,4.59,92,Excellent,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False
63,23,48,4.09,49,Excellent,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False
96,29,84,3.65,176,Good,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True
94,59,84,4.38,175,Excellent,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
74,32,2,4.7,38,Excellent,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
91,13,32,3.6,160,Good,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True
69,12,42,4.34,158,Excellent,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True
51,20,57,3.68,67,Good,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
45,17,10,4.93,148,Excellent,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
92,34,98,3.99,140,Good,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False
69,36,55,4.74,109,Excellent,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
56,14,30,3.67,48,Good,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False
43,26,59,4.91,175,Excellent,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
86,48,37,4.15,84,Excellent,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False
61,34,82,3.99,10,Good,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False
50,36,18,4.61,145,Excellent,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
73,34,95,4.31,21,Excellent,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False
76,7,76,4.35,72,Excellent,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
87,41,87,4.36,87,Excellent,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False
53,33,40,3.8,139,Good,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
71,8,57,3.68,75,Good,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False
32,5,80,3.55,14,Good,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False
91,30,34,3.69,96,Good,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True
47,37,64,3.75,31,Good,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False
23,13,42,4.55,87,Excellent,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
57,20,92,3.74,53,Good,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False
48,17,2,4.09,85,Excellent,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False
22,5,39,4.92,56,Excellent,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False
60,19,37,4.22,68,Excellent,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False
94,42,0,4.23,36,Excellent,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
43,6,34,4.4,24,Excellent,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
97,18,53,4.25,26,Excellent,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
47,17,7,4.8,173,Excellent,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True
39,28,72,3.76,87,Good,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False
50,39,94,3.81,139,Good,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
35,17,78,4.4,61,Excellent,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
28,8,69,3.86,175,Good,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
51,32,98,4.44,51,Excellent,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
54,12,84,4.98,172,Excellent,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True
65,10,77,4.36,170,Excellent,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True
61,26,21,3.85,126,Good,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
46,9,67,4.22,47,Excellent,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
73,50,7,4.22,45,Excellent,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False
86,49,99,3.51,130,Good,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True
75,7,100,4.13,134,Excellent,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
39,29,12,4.24,97,Excellent,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False
33,6,90,4.81,139,Excellent,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
40,29,6,4.94,71,Excellent,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False
54,35,66,4.4,77,Excellent,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False
53,26,54,4.6,52,Excellent,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False
81,34,98,3.55,164,Good,False,False,True,False,False,True,False,True,True,False,False,False,False,False,True
45,20,80,4.73,63,Excellent,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False
20,9,77,3.91,89,Good,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False
47,22,11,4.8,119,Excellent,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True
33,18,90,3.61,146,Good,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True
78,57,5,4.82,127,Excellent,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True
26,12,9,3.75,115,Good,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False
62,21,61,4.57,56,Excellent,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
84,59,67,4.27,164,Excellent,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True
49,8,1,4.06,157,Excellent,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True
34,22,34,3.64,176,Good,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
49,30,86,3.62,69,Good,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False
83,50,7,3.66,100,Good,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
88,5,89,3.59,27,Good,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False
90,71,88,3.84,167,Good,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
65,5,24,3.54,119,Good,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
73,28,22,4.57,53,Excellent,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False
85,62,54,3.78,114,Good,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
65,27,62,3.54,162,Good,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
74,42,88,3.5,77,Good,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False
41,7,68,4.3,66,Excellent,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
79,23,88,3.88,164,Good,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True
53,7,64,4.55,10,Excellent,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False
35,14,74,5.0,175,Excellent,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
53,40,79,3.66,30,Good,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
36,23,42,4.66,14,Excellent,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
38,25,2,4.24,128,Excellent,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
52,36,1,4.52,36,Excellent,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False
91,64,26,4.56,96,Excellent,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
87,5,59,4.32,42,Excellent,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False
96,20,88,3.6,71,Good,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
83,59,8,4.85,31,Excellent,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False
48,23,0,4.46,174,Excellent,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
65,19,24,4.59,96,Excellent,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False
79,29,0,4.86,127,Excellent,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True
100,22,45,4.23,141,Excellent,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True
73,63,25,4.19,129,Excellent,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True
79,67,56,4.01,151,Excellent,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
88,55,56,4.0,26,Excellent,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False
76,34,10,4.92,103,Excellent,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
49,30,80,3.74,85,Good,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False
100,64,7,4.89,115,Excellent,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
87,26,63,4.2,118,Excellent,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
22,5,93,4.85,99,Excellent,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
21,11,23,3.76,12,Good,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False
93,57,34,4.89,80,Excellent,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
28,15,90,4.25,177,Excellent,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
97,7,22,3.74,147,Good,False,False,True,False,False,True,False,True,True,False,False,False,False,False,True
48,12,51,4.63,32,Excellent,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False
70,37,10,3.65,168,Good,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
78,12,99,4.3,95,Excellent,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False
25,7,24,3.85,144,Good,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
24,9,6,4.05,69,Excellent,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False
92,37,7,4.92,103,Excellent,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True
43,33,16,4.01,159,Excellent,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
96,23,8,4.23,90,Excellent,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True
88,46,35,4.89,72,Excellent,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False
83,43,20,3.59,63,Good,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
50,29,2,4.81,143,Excellent,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
97,75,15,4.94,163,Excellent,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True
84,24,39,4.08,86,Excellent,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False
68,40,58,4.64,68,Excellent,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
77,30,99,4.7,179,Excellent,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True
82,67,13,4.43,33,Excellent,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False
21,8,37,3.71,171,Good,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True
75,24,44,3.79,72,Good,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
61,9,74,3.98,32,Good,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False
90,13,24,3.73,126,Good,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True
100,21,20,3.52,163,Good,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
93,31,13,3.58,101,Good,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False
92,14,57,3.73,133,Good,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
61,12,59,4.72,178,Excellent,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True
53,12,79,3.6,154,Good,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True
55,21,20,3.56,134,Good,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
57,45,78,4.43,112,Excellent,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False
34,8,51,4.09,130,Excellent,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False
50,11,19,4.87,144,Excellent,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True
35,22,82,3.79,174,Good,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True
43,14,1,3.53,134,Good,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
50,25,19,4.32,176,Excellent,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True
55,19,64,4.34,129,Excellent,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
93,67,21,4.88,87,Excellent,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
94,69,86,4.12,18,Excellent,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False
70,60,57,4.05,43,Excellent,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False
36,25,61,3.64,132,Good,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
37,9,73,4.8,124,Excellent,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True
68,46,8,4.21,116,Excellent,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False
77,15,47,4.47,66,Excellent,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
