Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Historical_Cost_of_Ride,Predicted_Cost_of_Ride,Error,Absolute_Error,Percentage_Error
59,40,64,4.72,157,398.3194964103068,586.6208587958904,-188.30136238558362,188.30136238558362,-47.27395070604714
53,27,78,3.63,58,279.09504825213924,221.6952093444299,57.399838907709324,57.399838907709324,20.56641250612706
96,53,58,4.28,21,55.6373707994896,104.76524840058903,-49.12787760109943,49.12787760109943,-88.30014232367377
56,10,28,3.8,144,609.9082747031204,519.5705444092021,90.3377302939183,90.3377302939183,14.811691206827977
86,18,61,4.3,126,441.6378571357946,461.0590230626582,-19.42116592686358,19.42116592686358,-4.397531962684977
52,22,72,3.6,101,303.803226426852,371.5865793822573,-67.78335295540529,67.78335295540529,-22.31159746149891
31,8,7,3.57,35,145.24203735141535,132.39733564142827,12.844701709987078,12.844701709987078,8.843652942508045
25,6,69,4.45,94,398.051725971793,347.4580142256846,50.5937117461084,50.5937117461084,12.710335980227253
65,5,24,3.54,119,301.40392677127403,425.9542022755158,-124.55027550424177,124.55027550424177,-41.32337519237401
25,8,11,4.0,109,422.4367392307234,398.3627726394388,24.073966591284602,24.073966591284602,5.698833542538084
71,30,60,4.83,156,501.801349985356,578.2320572460233,-76.43070726066725,76.43070726066725,-15.23126776420544
40,6,37,4.75,148,707.8553931548287,540.1002423912203,167.7551507636084,167.7551507636084,23.69907079692412
66,6,23,4.2,45,173.1577542620492,168.99228435383907,4.165469908210127,4.165469908210127,2.405592476041409
53,11,2,3.5,81,297.0186264188845,294.767180830794,2.251445588090462,2.251445588090462,0.7580149485020024
39,22,63,3.87,170,706.6896358975697,619.1765766791179,87.51305921845176,87.51305921845176,12.383520964942555
53,17,78,4.03,26,120.24719290813758,106.46228983389909,13.784903074238485,13.784903074238485,11.463804468823994
57,38,31,3.97,64,294.8553699465021,250.6088125498777,44.24655739662438,44.24655739662438,15.006190121160886
92,49,9,4.23,89,397.4831040703401,343.93339903414903,53.549705036191085,53.549705036191085,13.472196550702876
92,37,7,4.92,103,434.5710508212173,392.9782421502183,41.59280867099898,41.59280867099898,9.571003082787094
71,61,79,3.85,147,591.2989763287625,553.8089190041501,37.490057324612394,37.490057324612394,6.340287878964281
53,22,28,4.99,64,211.0820229741896,250.87650386536006,-39.79448089117045,39.79448089117045,-18.852614888969672
100,34,33,4.75,156,537.4486716625657,577.4869165663464,-40.03824490378065,40.03824490378065,-7.44968720081207
22,10,26,4.97,170,562.1650160715976,623.0018716219113,-60.83685555031366,60.83685555031366,-10.821885711679618
50,36,18,4.61,145,572.2420492964254,542.1171951939099,30.124854102515542,30.124854102515542,5.264355204157787
87,41,97,4.27,37,158.89198003545,156.21627178364048,2.6757082518095103,2.6757082518095103,1.6839794250235536
92,45,59,4.23,121,574.8939389332888,455.3236458902124,119.57029304307645,119.57029304307645,20.79866997118428
100,85,59,4.46,110,329.4837131421355,436.64917889981785,-107.16546575768234,107.16546575768234,-32.52526953022785
26,13,14,4.19,174,666.4286805847338,632.5135535882274,33.91512699650639,33.91512699650639,5.089085746842225
94,50,88,4.95,49,250.4603273046531,207.6708906789765,42.789436625676615,42.789436625676615,17.08431713962775
92,69,88,4.69,18,45.11502370436019,105.09447526106055,-59.97945155670036,59.97945155670036,-132.947844491332
31,13,87,4.04,11,31.565676162125197,53.04172002751221,-21.476043865387016,21.476043865387016,-68.03606472765992
97,18,53,4.25,26,126.4771352873347,105.41787434383826,21.05926094349644,21.05926094349644,16.650646692505607
95,25,26,3.62,81,207.61291922267668,299.2335019193581,-91.62058269668142,91.62058269668142,-44.13048236098117
55,23,46,4.58,150,654.676536309137,552.9446276341346,101.73190867500239,101.73190867500239,15.539262984516796
96,80,47,3.77,70,177.20306582722415,287.61589432794426,-110.41282850072011,110.41282850072011,-62.308644596687955
34,12,3,4.83,62,298.3556200090825,239.25138449200333,59.10423551707916,59.10423551707916,19.809995707565328
37,13,31,4.66,35,132.1665679180113,142.45846702544569,-10.291899107434375,10.291899107434375,-7.787066933461485
99,22,7,4.4,39,131.44358716419623,154.50928282103925,-23.06569565684302,23.06569565684302,-17.547980966184294
83,43,20,3.59,63,267.28219711727195,244.73222443376136,22.54997268351059,22.54997268351059,8.43676568313176
79,29,0,4.86,127,406.0855256604135,474.7398010885927,-68.65427542817918,68.65427542817918,-16.906358658444496
75,56,66,3.69,22,124.49060049402551,106.85337290482619,17.637227589199327,17.637227589199327,14.16751748261168
97,25,95,4.91,101,332.2293764400841,379.4723238665434,-47.242947426459295,47.242947426459295,-14.21997895931979
88,38,29,3.73,167,537.8971058809161,611.6501755590176,-73.7530696781015,73.7530696781015,-13.711371351834254
100,70,42,4.9,167,762.8822843495781,634.8456962133764,128.03658813620166,128.03658813620166,16.783269288441232
60,50,54,4.57,38,151.77728650517233,168.41572439089413,-16.6384378857218,16.6384378857218,-10.962403050442457
80,67,80,4.74,147,432.30725774113824,562.6883957915062,-130.38113805036795,130.38113805036795,-30.15936830013597
47,9,38,4.06,141,543.7702542024564,511.04058154545373,32.72967265700265,32.72967265700265,6.019025940469475
77,30,99,4.7,179,689.7483154802385,658.2503186972214,31.49799678301713,31.49799678301713,4.566592781177957
33,23,24,4.21,11,91.38952597435124,59.12058659322827,32.268939381122976,32.268939381122976,35.309231596385956
58,32,92,4.59,111,517.9444619823878,418.75441923317925,99.19004274920854,99.19004274920854,19.150710168724885
97,55,94,4.62,150,584.9958711291002,565.3846106782262,19.611260450874056,19.611260450874056,3.35237587455487
35,22,15,4.23,120,373.96284065200393,445.0472862791053,-71.08444562710139,71.08444562710139,-19.0084248753608
83,50,7,3.66,100,376.3000600585162,379.8028440798938,-3.502784021377636,3.502784021377636,-0.9308486479733589
56,13,36,4.81,162,406.5574980533908,592.3601694917521,-185.8026714383613,185.8026714383613,-45.70144993709129
54,16,8,4.5,67,266.0685899337195,254.9395743361366,11.129015597582935,11.129015597582935,4.182761896229573
78,33,35,4.46,116,355.9595074862448,434.65605753165596,-78.69655004541119,78.69655004541119,-22.10828714792854
21,11,23,3.76,12,40.442890652890384,54.42438901038889,-13.98149835749851,13.98149835749851,-34.570966940760144
83,34,96,4.71,176,812.0729938599545,649.1756895378569,162.89730432209763,162.89730432209763,20.05944115292054
43,14,1,3.53,134,648.9097429236178,485.0414901647667,163.86825275885116,163.86825275885116,25.252857511516797
55,12,96,4.66,48,183.2701656673754,186.5763400126693,-3.306174345293897,3.306174345293897,-1.8039893908834073
38,12,44,4.85,110,356.8814026432877,409.15465875726136,-52.27325611397367,52.27325611397367,-14.647234550975513
40,23,6,3.96,178,528.60807288888,648.7567983385036,-120.14872544962361,120.14872544962361,-22.729264196250814
100,64,7,4.89,115,490.5040759704239,447.6517561034876,42.852319866936284,42.852319866936284,8.736384051887097
22,8,4,4.84,122,408.129769999122,450.9742802567782,-42.84451025765617,42.84451025765617,-10.497766496609238
33,16,81,4.08,50,201.29253189374316,192.8944483779543,8.39808351578887,8.39808351578887,4.172079031835114
94,71,48,4.73,169,770.8733244527833,641.5676423182556,129.30568213452773,129.30568213452773,16.773920958585176
91,13,32,3.6,160,647.3526381087524,573.6454144677796,73.70722364097287,73.70722364097287,11.385946283668403
98,61,91,4.28,95,319.94237960548924,370.68661629813147,-50.74423669264223,50.74423669264223,-15.86042985465487
25,11,92,3.91,115,310.1546162756803,420.19462002057634,-110.04000374489601,110.04000374489601,-35.479079778418374
98,54,34,4.57,113,462.4075929220183,433.4494165811537,28.95817634086461,28.95817634086461,6.262478554444541
44,11,56,3.83,18,104.75201005936664,74.44478536702047,30.307224692346168,30.307224692346168,28.932356214615833
42,8,12,4.79,166,599.7162532373392,605.0802577888912,-5.364004551552057,5.364004551552057,-0.8944237416605815
39,18,78,4.21,165,734.3951190125542,602.0435484430012,132.35157056955302,132.35157056955302,18.021847795980587
37,22,76,4.72,69,213.4432507972432,267.63472625764496,-54.19147546040176,54.19147546040176,-25.38917265267855
93,70,21,3.81,12,41.12164471941277,77.80752211845635,-36.68587739904358,36.68587739904358,-89.21305956841957
75,9,71,4.06,150,411.0057654245888,540.8035377106032,-129.79777228601444,129.79777228601444,-31.580523487773238
46,15,96,4.69,116,497.3770093020007,429.94637318090764,67.43063612109307,67.43063612109307,13.557248296563317
89,12,42,4.73,102,328.31398217312767,376.1541605481863,-47.840178375058656,47.840178375058656,-14.571471509803505
30,13,8,4.1,94,274.6803754439265,347.97794391564696,-73.29756847172047,73.29756847172047,-26.684676090623555
67,46,92,4.72,32,97.6750013649232,145.7431374039618,-48.068136039038606,48.068136039038606,-49.212321850348815
59,24,40,4.0,147,631.6312970255759,538.1667085189753,93.46458850660065,93.46458850660065,14.797333340943695
57,42,36,3.59,167,587.2581373063812,614.7810015929816,-27.522864286600452,27.522864286600452,-4.686672272067875
21,7,6,4.96,180,836.1164185613576,657.059276610037,179.05714195132055,179.05714195132055,21.41533618720353
81,35,45,4.11,174,708.8801421484817,638.3457002609389,70.53444188754281,70.53444188754281,9.950122410505992
74,39,11,3.65,173,484.75453888236336,633.8730276303161,-149.1184887479527,149.1184887479527,-30.761648790696455
31,9,18,4.42,114,461.0193485856391,419.2535771202953,41.76577146534379,41.76577146534379,9.059440041611479
66,49,42,4.56,124,429.94835612457183,472.30124054560383,-42.352884421032,42.352884421032,-9.850691092946246
26,7,58,4.91,161,460.75927538572495,588.8370911204727,-128.07781573474773,128.07781573474773,-27.79712152892143
82,26,35,4.71,114,289.2390324634591,425.78784976997036,-136.54881730651124,136.54881730651124,-47.20967849446878
42,7,90,3.67,32,123.762469326047,121.01741160226624,2.7450577237807607,2.7450577237807607,2.2180049725325226
90,75,88,4.1,106,472.5465909334413,415.64070180572304,56.90588912771824,56.90588912771824,12.042386977188773
25,7,24,3.85,144,494.8027992189699,520.7946970243291,-25.991897805359258,25.991897805359258,-5.252981156611608
88,46,35,4.89,72,361.98552095653855,287.40596042260796,74.57956053393059,74.57956053393059,20.602912607348433
87,77,12,3.56,11,97.78450586126137,76.2107760592869,21.573729801974466,21.573729801974466,22.062523721890777
51,6,64,4.57,34,142.5577269374603,133.77141417677498,8.78631276068532,8.78631276068532,6.163336740448908
80,34,84,3.8,174,561.4385219871201,635.5207449902011,-74.08222300308103,74.08222300308103,-13.195073031483318
64,46,51,5.0,29,144.60138253530263,137.5284413417302,7.072941193572433,7.072941193572433,4.891337184722741
100,50,20,4.14,127,350.2265835541767,477.82521079961356,-127.59862724543683,127.59862724543683,-36.43316448184423
89,16,27,4.86,161,624.305615960136,588.2255613722584,36.08005458787761,36.08005458787761,5.779229541670732
68,16,91,4.49,77,246.7577555097292,289.07700893118647,-42.31925342145726,42.31925342145726,-17.150120908677454
44,28,31,4.92,132,402.856989480614,494.92885098817067,-92.07186150755666,92.07186150755666,-22.85472609678708
87,52,15,3.57,66,266.4336179135411,259.251490544827,7.182127368714134,7.182127368714134,2.695653583417077
23,9,50,3.84,34,192.3850221961644,131.8354084429982,60.54961375316623,60.54961375316623,31.473143315401714
28,14,24,4.2,147,533.0802632142761,537.1870828250285,-4.106819610752382,4.106819610752382,-0.7703942340670773
38,9,57,4.26,16,104.0560727191975,70.05517901588729,34.00089370331021,34.00089370331021,32.675549648182454
90,71,37,3.51,32,172.59277503910292,147.11646960964435,25.476305429458563,25.476305429458563,14.76093389406747
28,6,54,4.03,168,593.065918046481,606.4428835542769,-13.376965507795944,13.376965507795944,-2.2555613298195865
29,17,76,3.61,166,674.132847635612,601.3548181283205,72.77802950729154,72.77802950729154,10.795799338742523
33,6,90,4.81,139,521.8019208244536,509.02924436755256,12.772676456901081,12.772676456901081,2.447801732258879
34,22,34,3.64,176,617.3632185255483,639.1622444603433,-21.799025934795054,21.799025934795054,-3.5309887730042906
58,14,10,3.77,95,258.01445968829404,347.46772305287874,-89.4532633645847,89.4532633645847,-34.66986442258032
100,66,27,3.53,106,412.2556067980849,406.47199456241765,5.783612235667249,5.783612235667249,1.4029189998378735
78,57,5,4.82,127,552.6397714448676,487.92968685663175,64.71008458823587,64.71008458823587,11.709270293567982
67,48,94,4.3,168,544.6027807887253,625.6417878813209,-81.03900709259551,81.03900709259551,-14.880388046353735
72,45,82,4.42,40,151.58040412487964,171.0322344567511,-19.451830331871463,19.451830331871463,-12.832681403755894
